id,section,subsection,chunk,keywords,input_file
347d663e-6c29-41f8-afce-9b0642de57d6,,,"Travel & Expense Policy (EN, 202501) # Travel & Expense Policy Version: 202501 Company: Global Service Firm Region: Global (EN)","travel,expense,policy,global,version",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\travel_expense_policy
cc039252-c48b-40bd-9009-33f9f221e2f5,Purpose and Scope,Definition,"The Travel & Expense Policy outlines the guidelines for business travel and related expenses incurred by employees of Global Service Firm. This policy aims to ensure that travel is conducted in a costeffective, fair, and compliant manner while promoting sustainability. It applies to all employees traveling for business purposes, regardless of location.","travel,policy,business,employees,expense",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\travel_expense_policy
dceaf7aa-93b8-4b88-9fed-ead22b6a2084,General Principles,Definition,"1. CostEffectiveness Employees are expected to make travel arrangements that are economical and provide value to the company. 2. Fairness All employees should be treated equitably regarding travel and expense reimbursements. 3. Compliance Employees must adhere to all local, regional, and international laws and regulations related to travel. 4. Sustainability The company encourages ecofriendly travel choices and limits shorthaul flights when alternative options are available.","travel,employees,company,costeffectiveness,expected",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\travel_expense_policy
800a6cc9-c20d-470e-8079-fa85b11e4d35,Roles and Responsibilities,Definition,"Employees Responsible for understanding and adhering to this policy, obtaining necessary approvals, and submitting accurate expense reports. Managers Responsible for preapproving travel requests, ensuring compliance with the policy, and reviewing expense reports for accuracy. Finance/HR Responsible for processing reimbursements, maintaining records, and providing support for policyrelated inquiries. Travel Desk Responsible for assisting employees with travel arrangements, preferred vendor bookings, and providing travelrelated information.","responsible,travel,employees,policy,expense",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\travel_expense_policy
59ec330c-8388-4217-a761-f7d113c9a66a,Pre-Approval Process,Definition,1. Booking System All travel arrangements must be made through the designated booking system. 2. Manager Approval Employees must obtain written approval from their direct manager before booking any travel. 3. Timelines Approval requests should be submitted at least two weeks prior to travel to allow for processing and adjustments.,"booking,travel,approval,system,manager",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\travel_expense_policy
df043d1b-0a24-45e4-971d-4e8826c3db99,Booking Rules,Definition,"Preferred Vendors Employees are encouraged to use preferred vendors for flights, hotels, and car rentals to ensure costeffectiveness. Flights Book flights at least 14 days in advance to secure the best rates. Economy class is the standard for all domestic flights. Hotels Employees should book accommodations within the company’s preferred hotel network unless otherwise approved. Car Rentals Use preferred rental agencies. Employees are encouraged to select compact or economy vehicles unless a larger vehicle is necessary for business purposes. Trains Train travel should be booked in advance and will generally be reimbursed at economy class rates.","preferred,flights,employees,economy,vendors",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\travel_expense_policy
cb83984d-f458-469a-b38a-b8b48ad66da2,Class of Travel,Definition,Economy Class All employees are required to travel in economy class for domestic and international flights under 6 hours. Business Class Business class travel is permitted for international flights exceeding 6 hours or with prior managerial approval. Exceptions Exceptions to the class of travel must be justified and documented in the approval request.,"class,travel,economy,international,flights",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\travel_expense_policy
cb01c3d5-a515-4fa7-a19b-684079d87a0e,Daily Allowances,Definition,"Meals Employees will receive a daily meal allowance based on the location of travel. This allowance covers breakfast, lunch, and dinner. Per Diem A per diem rate will be provided based on the destination. Employees should consult the company’s per diem schedule for specific rates. Currency Handling Employees are responsible for converting foreign currency and should retain all currency conversion receipts for reimbursement.","employees,diem,currency,allowance,based",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\travel_expense_policy
a3c13826-b10d-4a43-928e-9f78c9463f3f,Reimbursable vs. Non-Reimbursable Expenses,Reimbursable Expenses,"| Expense Type | Examples | ||| | Transportation | Airfare, train tickets, car rentals | | Accommodation | Hotel stays within policy limits | | Meals | Daily meal allowance | | Businessrelated costs | Conference fees, client meals |","meals,expense,type,examples,transportation",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\travel_expense_policy
793eaf0d-351e-42dd-b6d8-072e3d543207,Reimbursable vs. Non-Reimbursable Expenses,Non-Reimbursable Expenses,"| Expense Type | Examples | ||| | Personal expenses | Leisure activities, personal meals | | Alcohol | Alcoholic beverages unless part of a business meal | | Unapproved upgrades | Upgrades to business class without prior approval | | Fines | Traffic or parking fines |","personal,business,upgrades,fines,expense",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\travel_expense_policy
