id,section,subsection,chunk,keywords,input_file
d2db1431-78c7-4dea-b7da-88ee13788100,,,"Performance Review & Appraisal Policy (EN, 202501) # Performance Review & Appraisal Policy Company: Global Service Firm Version: 202501 Region: Global (EN)","performance,review,appraisal,policy,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy
17e885e2-0901-4661-a972-d379a59bdba5,Purpose and Scope of the Policy,Definition,"The Performance Review & Appraisal Policy aims to establish a structured framework for evaluating employee performance across Global Service Firm. This policy is designed to foster a culture of continuous improvement, align individual contributions with organizational goals, and support employee development. Scope: This policy applies to all employees, including fulltime, parttime, temporary staff, and contractors across all global locations.","policy,performance,employee,across,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy
7477ba99-ee13-46b9-b55d-8c5c6c5b6fa7,Review Cycle,Annual Reviews,"Conducted once a year, typically in Q4. Focus on overall performance, achievements, and areas for growth.","conducted,once,year,typically,focus",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy
2a2e9ebb-331b-40c7-9e32-7871e1160ee2,Review Cycle,Mid-Year Reviews,Conducted in Q2. A checkpoint to assess progress against goals and adjust as necessary.,"conducted,checkpoint,assess,progress,against",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy
cf6702fe-b939-4115-9072-58758e0255fe,Review Cycle,Probationary Reviews,Conducted at the end of the probation period (typically 36 months). Assess fit within the team and performance against initial expectations. Example: An employee who joined in January will have their probationary review in June. Feedback will focus on their adaptation to company culture and initial performance metrics.,"performance,initial,conducted,probation,period",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy
c0cf2d2e-f235-4a8b-ab20-aa428ce3ea11,Rating Scales,Descriptive Categories,"Exceeds Expectations (5): Consistently surpasses goals. Meets Expectations (4): Achieves all assigned goals. Partially Meets Expectations (3): Meets some goals; needs improvement. Does Not Meet Expectations (2): Fails to meet most goals. Unsatisfactory (1): Consistently underperforms. Example: An employee rated as ""Exceeds Expectations"" may have led a project that resulted in a 20% increase in client satisfaction.","expectations,goals,meets,exceeds,consistently",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy
34b6a477-527b-4629-8b45-349373ae73ac,Goal Setting and Alignment with Company Strategy,Definition,"Employees will set SMART (Specific, Measurable, Achievable, Relevant, Timebound) goals in alignment with departmental and corporate objectives. Goals should be documented and reviewed during performance discussions. Scenario: An employee in marketing sets a goal to increase social media engagement by 30% over six months, aligning with the company’s strategy to enhance brand visibility.","goals,employees,smart,specific,measurable",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy
45c16466-12b0-4033-974e-bd922f3a4f34,Continuous Feedback Practices,Definition,Managers are encouraged to provide ongoing feedback throughout the year. Regular checkins (monthly or bimonthly) should be scheduled to discuss progress and challenges. Sample Dialogue: Manager: “I noticed your recent presentation was wellreceived. Let’s build on that momentum for the upcoming project.” Employee: “Thank you! I’d love to explore more ways to engage the audience.”,"managers,encouraged,provide,ongoing,feedback",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy
a6a6b4d0-1046-4285-b169-6ccbe4d1c679,Roles and Responsibilities,Employee,Set personal goals and actively seek feedback. Engage in selfassessment prior to reviews.,"personal,goals,actively,seek,feedback",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy
a086af19-a749-40a6-ba37-98e931b15600,Roles and Responsibilities,Manager,Provide regular feedback and conduct formal reviews. Document performance discussions and outcomes.,"provide,regular,feedback,conduct,formal",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy
