id,section,subsection,chunk,keywords,input_file
d9a46457-44a6-4c79-9949-bfbc65668469,,,"Recruitment & Onboarding Policy (EN, 202501) # Recruitment & Onboarding Policy Version: 202501 Company: Global Service Firm Region: Global (EN)","recruitment,onboarding,policy,global,version",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
0fb21f2a-2a32-4398-b654-3a10e8c47167,Purpose and Scope,Definition,"The purpose of this Recruitment & Onboarding Policy is to establish a clear and consistent framework for attracting, selecting, and integrating new employees into Global Service Firm. This policy applies to all departments and positions across the organization, ensuring that our recruitment and onboarding processes align with our core values and business objectives.","recruitment,onboarding,policy,purpose,establish",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
ef3baca9-7efe-40f9-ba36-573c66209a39,Core Principles,Definition,"1. Fairness: All recruitment and onboarding activities will be conducted without discrimination based on race, gender, age, religion, sexual orientation, disability, or any other protected characteristic. 2. Transparency: Clear communication regarding the recruitment process and expectations will be maintained with all stakeholders. 3. Inclusivity: We strive to create a diverse workforce that reflects the communities we serve, promoting an inclusive environment for all candidates. 4. Compliance: All recruitment practices will comply with local, regional, and international labor laws and regulations. 5. Candidate Experience: We aim to provide a positive and engaging experience for all candidates throughout the recruitment and onboarding processes.","recruitment,onboarding,candidates,experience,fairness",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
e40eb05c-e92f-4028-8f3c-87e060aa2e17,Roles and Responsibilities,Definition,HR Department: Oversee the recruitment and onboarding processes. Ensure compliance with legal and regulatory requirements. Provide training and support to hiring managers. Hiring Managers: Identify staffing needs and initiate job requisitions. Collaborate with HR to develop job descriptions and select candidates. Recruiters: Source and screen candidates. Facilitate interviews and manage communication with candidates. Executives: Approve highlevel recruitment decisions and ensure alignment with organizational goals. New Hires: Actively participate in the onboarding process and provide feedback to improve future experiences.,"candidates,recruitment,onboarding,ensure,provide",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
7f7aef79-bc1e-4dc1-89e3-73f1c60f1df7,Recruitment Process,1. Job Requisition,"Hiring managers submit a job requisition form to HR, detailing the position's responsibilities, qualifications, and urgency.","hiring,managers,submit,requisition,form",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
7f0bb30c-fbdb-4615-a37e-a15ef82cb798,Recruitment Process,2. Approvals,HR reviews the requisition and obtains necessary approvals from executives before proceeding.,"reviews,requisition,obtains,necessary,approvals",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
73887a62-8550-45e8-b229-df72c2c5f11d,Recruitment Process,3. Job Descriptions,HR collaborates with hiring managers to create clear and comprehensive job descriptions that outline essential functions and qualifications.,"collaborates,hiring,managers,create,clear",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
cf284514-09d2-42bd-8a03-fb3c31a3979d,Recruitment Process,4. Postings,"Job openings are posted on the company website, job boards, and social media platforms to attract a diverse pool of candidates.","openings,posted,company,website,boards",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
81e4983f-0ea4-4462-a1d1-dc6bc0f9aba6,Recruitment Process,5. Sourcing,"Recruiters actively source candidates through networking, referrals, and partnerships with educational institutions.","recruiters,actively,source,candidates,through",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
1ef8e5b2-06ec-4f3e-a4a5-dd170a7639a1,Recruitment Process,6. Selection,"Candidates are screened based on their qualifications and experience, followed by interviews and assessments.","candidates,screened,based,qualifications,experience",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
5803cabd-d61c-4d6b-a5aa-8723e09d2806,Selection Methods,Definition,1. Interviews: Structured interviews will be conducted by hiring managers and HR to assess candidates’ skills and cultural fit. 2. Assessments: Relevant assessments may be administered to evaluate specific skills or competencies. 3. Case Studies: Candidates may be asked to solve case studies relevant to the position to demonstrate their problemsolving abilities. 4. Reference Checks: HR will conduct reference checks to validate candidates' qualifications and past performance. 5. Background Checks: Background checks will be performed in accordance with local laws to ensure candidate integrity.,"checks,candidates,interviews,skills,assessments",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
083d3b9d-4d0c-4094-a302-6348bc0795ec,"Diversity, Equity & Inclusion",Definition,Global Service Firm is committed to being an equal opportunity employer. We actively work to mitigate bias in our recruitment processes by employing standardized evaluation criteria and diverse interview panels.,"global,service,firm,committed,being",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
69563e28-83f0-4561-8ebc-57de3d77ea03,Communication with Candidates,Timelines,Candidates will be informed of their application status within two weeks of submission.,"candidates,informed,application,status,within",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
8d8b6761-3bb8-4cbc-81b2-aba7b25e57ed,Communication with Candidates,Feedback,Constructive feedback will be provided to candidates who reach the interview stage but are not selected.,"constructive,feedback,provided,candidates,reach",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
20f2de73-1a8d-46dd-ad74-45ee0eee0d03,Communication with Candidates,Offer Process,"Successful candidates will receive a formal offer letter outlining salary, benefits, and start date.","successful,candidates,receive,formal,offer",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
4c3ee6b4-6141-4c81-ab9c-83e4a4935515,Onboarding Process,Preboarding,New hires will receive a welcome email with essential information and resources prior to their start date.,"hires,receive,welcome,email,essential",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
7b46ae48-a181-4da7-a8c5-d4d5b16829b5,Onboarding Process,Day One Activities,"New hires will attend an orientation session covering company policies, culture, and administrative procedures.","hires,attend,orientation,session,covering",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
e9ae917f-7fbb-49f7-90ac-3b72ec79bcde,Onboarding Process,Induction Program,"A structured induction program will be implemented, including training sessions and introductions to key team members.","structured,induction,program,implemented,including",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
80710e90-c84a-46e8-96ed-2a8fdcae1e5b,Onboarding Process,Probation Period,"New hires will undergo a probation period of 90 days, during which their performance will be evaluated.","hires,undergo,probation,period,days",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
ca8361cb-ed06-4f5c-a2fc-c1d2cef6aa6a,Onboarding Process,Buddy/Mentor System,Each new hire will be assigned a buddy or mentor to guide them through their initial days and help them acclimate to the company culture.,"them,each,hire,assigned,buddy",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\recruitment_onboarding_policy
