id,section,subsection,chunk,keywords,input_file
97d5b97f-7c66-469b-960e-dce8c7a79d70,,,"Equal Opportunity Employment Policy (EN, 202501) # Equal Opportunity Employment Policy Version: 202501 Company: Global Service Firm Region: Global (EN)","equal,opportunity,employment,policy,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
8adf1812-bde3-4f55-96aa-a19f6963dade,Purpose and Commitment Statement,Definition,"At Global Service Firm, we are committed to fostering a diverse and inclusive workplace where all employees, applicants, and stakeholders are treated fairly and with respect. Our Equal Opportunity Employment (EOE) Policy reflects our dedication to creating an environment that embraces diversity, promotes equity, and ensures that every individual has the opportunity to reach their full potential.","opportunity,global,service,firm,committed",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
517dee26-9fe0-43d0-b8d5-0460cfe45de7,Guiding Principles,Definition,"1. Fairness: We ensure that all employment decisions are made without discrimination, providing equal opportunities for all individuals. 2. Transparency: Our processes and criteria for recruitment, hiring, and promotions are clear and accessible to all employees and applicants. 3. Inclusion: We actively promote an inclusive culture where diverse perspectives are valued and encouraged. 4. MeritBased Practices: Employment decisions are based on individual qualifications, skills, and performance, ensuring that the best candidates are selected for each position.","employment,decisions,fairness,ensure,made",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
3683364f-f847-4aec-b6d1-632a792c764b,Scope,Definition,"This policy applies to: All employees of Global Service Firm, including fulltime, parttime, and temporary staff. Job applicants and interns. Contractors and thirdparty service providers engaged with Global Service Firm. Any individual participating in companysponsored programs or activities.","service,global,firm,policy,applies",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
f4828192-7479-426c-852f-2f3a0be2e8ed,Prohibited Grounds of Discrimination,Definition,Global Service Firm prohibits discrimination based on: Gender Race Ethnicity Religion Disability Age Sexual orientation Gender identity Marital status Parental status Nationality Political belief Union membership,"gender,status,global,service,firm",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
49863420-c4c0-4d26-acf1-10474b584696,Definitions,Definition,"Discrimination: Unfair treatment of individuals based on protected characteristics. Harassment: Unwelcome conduct based on a protected characteristic that creates a hostile or intimidating work environment. Bias: Prejudice in favor of or against one thing, person, or group compared with another. Inclusivity: The practice of creating environments in which any individual or group can be and feel welcomed, respected, supported, and valued. Equity vs. Equality: Equity involves providing individuals with the resources and support they need to succeed, while equality means treating everyone the same regardless of their individual circumstances.","individuals,based,protected,group,individual",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
716855b1-3181-4523-ad4d-18bb6b74e706,Recruitment and Hiring Practices,Job Postings,All job openings will be posted internally and externally to ensure wide visibility. Job descriptions will clearly outline qualifications and responsibilities.,"openings,posted,internally,externally,ensure",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
419147f9-7d4a-4cc2-ae4b-95aa2d3fc2fa,Recruitment and Hiring Practices,Selection Criteria,Selection criteria will be based on objective qualifications and competencies relevant to the job.,"selection,criteria,based,objective,qualifications",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
55bf7b7b-f5b9-4b78-b7c5-3ec0e6c1d148,Recruitment and Hiring Practices,Interviews,Interview panels will be diverse and trained in unbiased interviewing techniques. All candidates will be evaluated based on the same criteria.,"interview,panels,diverse,trained,unbiased",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
71d9ee63-e621-4bda-b116-7636707bbc61,Recruitment and Hiring Practices,Reasonable Accommodations,Global Service Firm is committed to providing reasonable accommodations for applicants and employees with disabilities or religious obligations.,"global,service,firm,committed,providing",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
e7010d50-2f21-4202-80e4-832355da5aa9,Employment Terms,Training,"All employees will receive training on diversity, equity, and inclusion as part of their onboarding process and ongoing professional development.","employees,receive,training,diversity,equity",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
e926be2b-0b90-45ed-ba01-c2e334cfdec3,Employment Terms,Promotions,"Promotion decisions will be based on merit, performance, and potential, with a focus on equitable access to advancement opportunities.","promotion,decisions,based,merit,performance",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
1f5a5011-3e35-45b7-af46-ebdd87a3bf95,Employment Terms,Pay Equity,"We are committed to ensuring that all employees receive fair compensation for their work, regularly reviewing pay structures to eliminate disparities.","committed,ensuring,employees,receive,fair",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
3c387a27-a7e3-4fe5-b1a4-67891397c9d8,Employment Terms,Benefits,"Employee benefits will be designed to support a diverse workforce, including family leave, health benefits, and flexible work arrangements.","benefits,employee,designed,support,diverse",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
9dad0408-ca52-41d8-97d7-bd0618f0fb88,Employment Terms,Flexible Arrangements,We recognize the need for flexible work arrangements and will accommodate requests where feasible to support worklife balance.,"recognize,need,flexible,work,arrangements",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\equal_opportunity_policy
