id,section,subsection,chunk,keywords,input_file
213c528a-9b7b-4016-a2fc-50564dafe197,,,"Training & Development Policy (EN, 202501) # Training & Development Policy","training,development,policy",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\training_development_policy
fb37ed92-8f5b-476e-9156-88bf8dfaa6b8,Version: 2025-01,Purpose and Scope,The Training & Development Policy outlines the commitment of Global Service Firm to foster a culture of continuous learning and professional growth. This policy applies to all employees globally and aims to enhance individual and organizational capabilities through structured training and development initiatives.,"training,development,policy,outlines,commitment",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\training_development_policy
5c744df0-4845-473d-a714-92cef72c32d0,Version: 2025-01,Core Principles,"1. Continuous Learning: We believe in the importance of lifelong learning to adapt to changing business environments and individual career aspirations. 2. Fairness: Training opportunities will be provided equitably to all employees, ensuring that everyone has access to the resources they need for professional growth. 3. Accessibility: Training programs will be designed to accommodate diverse learning styles and needs, ensuring that all employees can participate. 4. Return on Investment (ROI): We will assess the effectiveness of training programs to ensure that they contribute positively to both employee performance and organizational goals. 5. Innovation: We encourage innovative approaches to training and development, including the use of technology and new learning methodologies.","learning,training,employees,ensuring,programs",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\training_development_policy
381d486b-1d18-4561-977d-71f5de653c90,Version: 2025-01,Roles and Responsibilities,"Employees: Actively engage in their own development by identifying training needs and participating in available programs. Managers: Support employees in their development by facilitating access to training resources and encouraging participation. HR Team: Oversee the implementation of the Training & Development Policy, ensuring compliance and alignment with organizational goals. L&D Team: Design and deliver training programs, evaluate their effectiveness, and recommend improvements. Executives: Champion a culture of learning and allocate necessary resources to support training initiatives.","training,development,employees,programs,support",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\training_development_policy
e44892b3-8472-4cf4-b0db-ca1700086a75,Version: 2025-01,Eligibility and Budget Allocation Rules,"All fulltime and parttime employees are eligible for training and development opportunities. Budget allocation for training will be based on departmental needs and individual development plans, with a focus on strategic alignment with company objectives.","training,development,fulltime,parttime,employees",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\training_development_policy
652955b9-58e4-448b-b9b9-19f6a6c751fd,Version: 2025-01,Mandatory Training,"Mandatory training programs include: 1. Compliance Training: Required for all employees to ensure adherence to legal and regulatory standards. 2. Security Training: Essential for safeguarding company data and assets. 3. Onboarding Training: Designed for new hires to familiarize them with company policies, culture, and expectations. 4. Health & Safety Training: Required for all employees to promote a safe working environment.","training,required,employees,company,mandatory",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\training_development_policy
0e2aabcf-442f-4924-b1f3-b679a7aa825f,Version: 2025-01,Optional Training,Optional training opportunities include: 1. Professional Skills Development: Workshops and courses aimed at enhancing jobrelated skills. 2. Certifications: Financial support for obtaining industryrecognized certifications. 3. Conferences: Opportunities to attend industry events for networking and knowledge sharing.,"opportunities,skills,certifications,optional,training",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\training_development_policy
f8fdba79-4f73-4b88-80bb-535b41b93d45,Version: 2025-01,Learning Formats,"Training may be delivered in various formats, including: Online Learning: Selfpaced modules accessible through the company’s Learning Management System (LMS). Classroom Training: Instructorled sessions held onsite or at external venues. Blended Learning: A combination of online and classroombased training. Mentoring: Oneonone guidance from experienced colleagues. OntheJob Training: Handson experience under the supervision of skilled team members.","training,learning,online,delivered,various",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\training_development_policy
7a2abfd2-cea9-4721-943a-5ca3ea163e4c,Version: 2025-01,Career Development Programs,1. Individual Development Plans (IDPs): Employees will work with their managers to create personalized development plans that align with career goals. 2. Leadership Tracks: Programs designed to prepare highpotential employees for leadership roles within the organization. 3. Succession Planning: Identifying and developing internal talent to fill key positions in the future.,"development,plans,employees,leadership,individual",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\training_development_policy
a564be54-1d95-4371-8a8b-12fc9828d854,Version: 2025-01,Learning Budget Management,"Limits: Each employee may access a designated budget for training annually, subject to departmental approval. Annual Caps: A maximum cap will be set for training expenses based on role levels, as outlined in the table below. Carryover Rules: Unused training budgets may be carried over to the next fiscal year, subject to managerial approval. | Role Level | Annual Training Budget Limit | ||| | EntryLevel | $1,000 | | MidLevel | $1,500 | | SeniorLevel | $2,500 | | ExecutiveLevel | $5,000 |","training,budget,subject,approval,annual",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\training_development_policy
