id,section,subsection,chunk,keywords,input_file
bd72818b-6b87-4710-b8a0-2750af9c4f9a,,,"Diversity, Equity & Inclusion Policy (EN, 202501) # Diversity, Equity & Inclusion (DEI) Policy Version: 202501 Company: Global Service Firm Region: Global","diversity,equity,inclusion,policy,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\dei_policy
33955204-501a-40c2-9355-86f1759b92b4,Purpose and Scope of the Policy,Definition,"The Diversity, Equity, and Inclusion (DEI) Policy aims to create a workplace that values diversity, promotes equity, and fosters an inclusive culture. This policy applies to all employees, contractors, and stakeholders across all global offices of Global Service Firm. It serves as a framework to guide our organizational practices and behaviors in alignment with our commitment to DEI.","diversity,equity,policy,global,inclusion",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\dei_policy
2e8a1e4f-eb4b-422e-8114-7150d21c81af,Definitions,Definition,"Diversity: The presence of differences within a given setting, including but not limited to race, ethnicity, gender, age, sexual orientation, disability, and socioeconomic background. Equity: The process of ensuring fair treatment, opportunities, and advancement while striving to identify and eliminate barriers that have historically led to unequal outcomes. Inclusion: The practice of creating environments in which any individual or group can feel welcomed, respected, supported, and valued.","diversity,presence,differences,within,given",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\dei_policy
17dca515-c342-404c-a476-18916eca644d,Guiding Principles,Definition,"Our DEI initiatives are anchored in the following principles: 1. Fairness: We are committed to equitable treatment for all employees, ensuring that every individual has access to opportunities and resources. 2. Respect: We value the unique contributions of each employee and foster a culture of mutual respect and understanding. 3. Belonging: We aim to create a sense of belonging where every employee feels valued and integrated into the workplace. 4. Representation: We strive for diverse representation at all levels of the organization, recognizing that varied perspectives drive innovation and success.","every,respect,employee,belonging,representation",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\dei_policy
8d4dd5d2-c7d7-41d4-afb2-69d08cb17aed,Recruitment and Promotion Practices,Definition,"Inclusive Job Descriptions: All job postings will be reviewed to ensure inclusive language and the removal of biased terminology. Diverse Talent Pools: We will actively seek diverse candidates through partnerships with organizations that focus on underrepresented groups. BiasFree Selection Processes: Interview panels will be diverse, and training will be provided to minimize unconscious bias in hiring and promotion decisions. Transparent Promotion Criteria: Promotion criteria will be clearly defined and communicated to all employees to ensure transparency and fairness.","diverse,promotion,inclusive,ensure,criteria",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\dei_policy
814d9df9-60c9-4f26-bfee-32954443776c,Training and Awareness Programs,Definition,"Mandatory DEI Training: All employees will participate in annual DEI training to enhance awareness and understanding of diversity, equity, and inclusion. Workshops and Seminars: Regular workshops will be held to discuss DEI topics, share experiences, and develop skills for fostering an inclusive workplace. Leadership Development: Specialized training for managers and leaders to equip them with the tools to champion DEI initiatives within their teams.","training,workshops,mandatory,employees,participate",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\dei_policy
63ae64da-6783-44e6-8c81-6b501aad151b,Inclusive Workplace Practices,Definition,"Language: We will promote the use of inclusive language in all communications and documentation, ensuring that terminology reflects our commitment to DEI. Events and Activities: Companysponsored events will be designed to be inclusive, considering cultural sensitivities and diverse interests. Accessibility: We will ensure that our facilities and resources are accessible to all employees, including those with disabilities.","language,inclusive,events,promote,communications",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\dei_policy
22f8e257-184c-4c00-b1b7-948dc2535388,Equal Pay and Career Progression,Definition,"Pay Equity Audits: Regular audits will be conducted to assess and address any pay disparities among employees based on gender, ethnicity, or other factors. Career Development Opportunities: All employees will have equal access to career development programs, mentorship, and networking opportunities.","audits,employees,career,development,opportunities",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\dei_policy
0243ffd4-7581-4823-90ee-0ce5655fab9f,Anti-Discrimination and Anti-Harassment Stance,Definition,"Global Service Firm has a zerotolerance policy for discrimination and harassment. This includes: Prohibited Behaviors: Any form of discrimination or harassment based on race, gender, age, sexual orientation, disability, or any other characteristic will not be tolerated. Reporting Mechanisms: Employees are encouraged to report any incidents of discrimination or harassment through established channels without fear of retaliation.","discrimination,harassment,global,service,firm",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\dei_policy
06971e55-248e-4307-bf6f-d2dd45c758a0,Responsibilities,Employees,Embrace and promote DEI principles within the workplace. Participate in training and awareness programs. Report any incidents of discrimination or harassment.,"embrace,promote,principles,within,workplace",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\dei_policy
