id,section,subsection,chunk,keywords,input_file
cb513a5a-cde6-4f66-9b5f-8a827fa72a7b,,,"Remote Work / Telework Policy (EN, 202501) # Remote Work / Telework Policy Version: 202501 Effective Date: [Insert Effective Date] Global Services Firm","remote,work,telework,policy,effective",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\remote_work_policy
b33e9fa7-d4cd-4b88-ac71-8c6552aa6ce5,1. Purpose,Definition,"The purpose of this Remote Work / Telework Policy is to provide guidelines for employees who work remotely or telecommute. This policy ensures that remote work aligns with the company's operational goals while maintaining productivity, security, and employee wellbeing.","work,remote,policy,purpose,telework",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\remote_work_policy
651bba79-ede2-44f5-82a6-5665ed220b09,2. Eligibility and Approval,2.1 Eligible Roles,"FullTime Employees: Employees in roles that do not require a physical presence (e.g., IT, marketing, customer service) may be eligible for remote work. PartTime Employees: May qualify based on role and manager discretion. Contractors: Eligibility is determined on a casebycase basis and requires prior approval.","employees,fulltime,roles,require,physical",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\remote_work_policy
31846d3a-998d-4a2f-9286-a7517304ca75,2. Eligibility and Approval,2.2 Exceptions,"Roles Requiring OnSite Presence: Employees in roles such as facilities management, maintenance, or those requiring direct customer interaction are not eligible. New Employees: Employees in their probationary period may not be eligible for remote work until completion.","employees,roles,requiring,eligible,onsite",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\remote_work_policy
e7feeaeb-ddb7-464e-ac06-2c160bdb7808,2. Eligibility and Approval,2.3 Approval Process,1. Submit a Remote Work Request Form to your direct manager. 2. The manager will assess the request based on business needs and employee performance. 3. Final approval will be communicated within five business days.,"request,manager,business,submit,remote",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\remote_work_policy
791f3dc2-a61c-4d62-aa09-5be98fa23d16,3. Work Location and Hours,3.1 Work Location,"Employees must work from a secure location that supports productivity and confidentiality. Restricted locations include public spaces (cafés, parks) where sensitive information may be exposed.","employees,work,secure,location,supports",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\remote_work_policy
598eee39-5254-48c9-87d5-76ea3e823d8b,3. Work Location and Hours,3.2 Work Hours,"Core Hours: Employees are expected to be available from 10 AM to 3 PM in their local time zone. Flexibility: Outside core hours, employees may adjust their schedules to accommodate personal needs, provided they communicate this with their team. Overtime: Any work beyond standard hours must be preapproved by a manager. Breaks: Employees should take regular breaks, including a minimum of one 30minute break for every 4 hours worked.","hours,employees,core,breaks,expected",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\remote_work_policy
9865d7ff-94dc-4b09-b01f-6a7f1c705f72,3. Work Location and Hours,3.3 Availability Rules,Employees must be reachable via company communication tools during core hours. Outofoffice notifications should be set for any extended absences.,"employees,reachable,company,communication,tools",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\remote_work_policy
af2db3de-a8cf-41df-8c6c-e26256fb75b5,4. Equipment and Allowances,4.1 Company Equipment,"The company will provide necessary equipment, including laptops and peripherals. Employees are responsible for maintaining the equipment in good condition.","equipment,company,provide,necessary,including",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\remote_work_policy
a8622adc-d027-4bde-b2f3-3a9e6c50d31c,4. Equipment and Allowances,4.2 Allowances,"Internet Stipend: Employees may receive a monthly stipend to cover internet costs. The amount will be determined based on local market rates. Energy Stipend: A monthly energy allowance may be provided, subject to managerial approval.","stipend,internet,monthly,energy,employees",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\remote_work_policy
