id,section,subsection,chunk,keywords,input_file
3173eb69-0c7f-4dc1-b686-a78f20e02c86,,,"AntiHarassment & Workplace Respect Policy (EN, 202501, Expanded) # AntiHarassment & Workplace Respect Policy Version: 202501 Company: Global Service Firm Region: Global (EN)","antiharassment,workplace,respect,policy,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
4fd32768-9862-4025-a7df-83cadbb6c803,Purpose and Scope,Definition,"The purpose of this AntiHarassment & Workplace Respect Policy is to foster a safe, respectful, and inclusive workplace for all employees, contractors, interns, and third parties associated with Global Service Firm. This policy outlines our commitment to preventing harassment in all its forms and promoting a culture of respect and dignity. It applies globally across all locations and functions within the organization.","workplace,respect,policy,purpose,antiharassment",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
7ca489b3-2abd-478a-af17-6e9b9feb07a5,Definitions,Harassment,"Harassment is any unwelcome behavior that creates an intimidating, hostile, or offensive work environment. It can occur in various forms and may be based on race, color, religion, sex, national origin, age, disability, or any other characteristic protected by law.","harassment,unwelcome,behavior,creates,intimidating",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
8c4bc05d-eed8-4ef2-ba85-57715845f356,Definitions,Sexual Harassment,"Sexual harassment involves unwelcome sexual advances, requests for sexual favors, and other verbal or physical conduct of a sexual nature. It can occur in person, through digital communication, or in any other form.","sexual,other,harassment,involves,unwelcome",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
7032851f-7053-4379-baec-46666e2e572b,Definitions,Bullying,"Bullying is repeated, intentional behavior that is meant to harm, intimidate, or control another individual. This may include verbal abuse, threats, or undermining someone's work.","bullying,repeated,intentional,behavior,meant",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
feb7c39c-f984-427c-8c76-e4c66f553b07,Definitions,Hostile Work Environment,A hostile work environment is created when harassment or bullying is so severe or pervasive that it negatively affects an employee's ability to perform their job.,"hostile,work,environment,created,when",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
41d60e76-8cc9-45d9-9d71-838d0d17dc4e,Definitions,Retaliation,Retaliation occurs when an individual faces adverse actions for reporting harassment or participating in an investigation. This includes any form of discrimination or punishment.,"retaliation,occurs,when,individual,faces",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
b7ea6da4-9802-4011-b74d-96689eec2a02,Definitions,Workplace Respect,"Workplace respect refers to treating all individuals with dignity and valuing their contributions, regardless of their background or position within the organization.","workplace,respect,refers,treating,individuals",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
987ed9b0-4965-4572-a359-a70603f1aa4e,Guiding Principles,Definition,Dignity: All employees deserve to be treated with dignity and respect. Respect: We promote a culture of mutual respect and understanding. Zero Tolerance: Global Service Firm has a zerotolerance policy for harassment and bullying. Inclusiveness: We embrace diversity and encourage an inclusive workplace where everyone feels valued.,"respect,dignity,employees,deserve,treated",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
c8a980c5-c139-4abf-915d-20c764f72586,Applicability,Definition,"This policy applies to all employees, contractors, interns, and third parties interacting with Global Service Firm. This includes, but is not limited to, clients, vendors, and visitors.","policy,applies,employees,contractors,interns",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
baaffe80-2a23-4a45-919a-a2a685a46607,Prohibited Behaviors with Examples,Verbal,"Examples: Namecalling, derogatory remarks, jokes about race or gender, and unwelcome comments about appearance.","about,examples,namecalling,derogatory,remarks",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
431a4a02-858d-493f-ba86-05e71d353d8e,Prohibited Behaviors with Examples,Physical,"Examples: Unwanted touching, blocking someone’s path, or any form of physical intimidation.","examples,unwanted,touching,blocking,someone",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
6b025912-0190-4194-8e29-14ce985b1628,Prohibited Behaviors with Examples,Digital/Online,"Examples: Sending inappropriate emails, sharing offensive memes, or using social media to harass someone.","examples,sending,inappropriate,emails,sharing",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
82646369-76de-4dda-a167-7ccd505e2f03,Prohibited Behaviors with Examples,Subtle Forms,"Examples: Exclusion from meetings, spreading rumors, or undermining someone’s work in subtle ways.","examples,exclusion,meetings,spreading,rumors",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
178c22df-7d67-4c9e-bfbd-cdad1d1eeb3f,Responsibilities of Employees and Managers,Employees,Treat all colleagues with respect and dignity. Report any incidents of harassment or bullying. Participate in training and awareness programs.,"treat,colleagues,respect,dignity,report",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
83ced687-7582-478d-8760-855e90749bda,Responsibilities of Employees and Managers,Managers,Foster a respectful workplace. Address complaints promptly and fairly. Ensure that employees are aware of their rights and responsibilities.,"foster,respectful,workplace,address,complaints",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
f2be6394-a1f2-463d-b856-86b69e02566b,Reporting Procedures,Definition,Employees can report incidents of harassment through multiple channels: 1. HR Department: Directly contact the HR representative. 2. Anonymous Hotline: Call [Hotline Number] for confidential reporting. 3. Ethics Email: Send an email to [Ethics Email Address] for anonymous concerns.,"email,anonymous,hotline,ethics,employees",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
36920312-0fcc-4160-adef-25e8a5723b68,Confidentiality and Protection Against Retaliation,Definition,All reports of harassment will be treated confidentially to the extent possible. Global Service Firm prohibits retaliation against anyone who reports harassment or participates in an investigation.,"reports,harassment,treated,confidentially,extent",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\anti_harassment_policy
