id,section,subsection,chunk,keywords,input_file
e6d68f0a-5dc5-402f-a728-7d822ae3b7c7,,,"Annual Leave Policy (EN, 202501) # Annual Leave Policy Version: 202501 Company: Global Service Firm Effective Date: [Insert Date] Last Reviewed: [Insert Date]","date,annual,leave,policy,insert",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
0a262902-57e9-43c4-9e95-d60d3f824f91,1. Eligibility,1.1 Full-Time Employees,"Fulltime employees are entitled to an annual leave of 26 days per year. This leave is accrued monthly, starting from the first day of employment.","leave,fulltime,employees,entitled,annual",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
46feb56b-0479-4bc7-8ff5-96925203c296,1. Eligibility,1.2 Part-Time Employees,"Parttime employees will accrue annual leave on a prorata basis, calculated according to their contracted hours. For example, if a parttime employee works 20 hours a week, they will receive 13 days of annual leave per year.","parttime,annual,leave,hours,employees",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
b7a7bbdd-8e54-4e8b-b086-8e6f3b9aeeca,1. Eligibility,1.3 Probationary Employees,"Employees on probation are entitled to annual leave, which will be accrued at a rate of 1.5 days per month during the probation period. Upon successful completion of probation, the employee will transition to the full entitlement.","probation,employees,entitled,annual,leave",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
7790d86b-cf30-48b4-8eda-ffa2582c5b0a,1. Eligibility,1.4 Contractors,"Contractors are not eligible for annual leave benefits. However, they may negotiate time off within their contract terms.","contractors,eligible,annual,leave,benefits",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
8b99cb59-dcfa-4179-9975-1e98ea498059,2. Accrual Rules,2.1 Standard Accrual,Employees will accrue leave at the following rates: FullTime Employees: 2.17 days per month (26 days annually) PartTime Employees: Accrued based on hours worked; calculated as follows: Example: A parttime employee working 20 hours/week would accrue approximately 1.08 days/month.,"employees,days,accrue,month,parttime",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
ae6c7221-3944-4527-bb14-d662284fed2e,2. Accrual Rules,2.2 Worked Examples,"FullTime Example: An employee starts on January 1. By July 1, they will have accrued 13 days. PartTime Example: A parttime employee starting on January 1 and working 20 hours/week will have accrued approximately 6.5 days by July 1.","example,employee,january,july,accrued",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
ed7497f3-011d-411a-9103-264dd27fc66f,3. Carry-Over Deadlines and Maximums,3.1 Carry-Over Rules,Employees may carry over a maximum of 10 unused annual leave days into the next calendar year. Any unused days beyond this limit will be forfeited unless otherwise agreed upon by management.,"unused,days,employees,carry,over",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
8620bb3b-7b1a-42ad-935b-2b698afb2e9a,3. Carry-Over Deadlines and Maximums,3.2 Scenarios,"Scenario 1: An employee has 15 unused leave days at yearend. They can carry over 10 days, and 5 days will be lost. Scenario 2: An employee takes a leave of absence and has 8 unused days. They can carry over all 8 days.","days,scenario,employee,unused,leave",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
27d0c5e2-ea02-4ed2-a7ba-0d952f161014,3. Carry-Over Deadlines and Maximums,3.3 Exceeding Maximums,"If an employee exceeds the carryover limit, they will receive a notification from HR. The employee must use the excess days within the next six months or risk forfeiture.","employee,exceeds,carryover,limit,receive",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
0e2d10c6-0c8c-43f2-bf54-68beaae3b154,4. Request Workflow in HRIS,4.1 Step-by-Step Process,"1. Log into HRIS: Access the HR Information System using your credentials. 2. Navigate to Leave Requests: Click on the 'Leave' tab. 3. Select Annual Leave: Choose 'Annual Leave' from the dropdown menu. 4. Complete Request Form: Fill out the required fields, including dates and reason for leave. 5. Submit for Approval: Click 'Submit.' An automated notification will be sent to your manager.","leave,your,click,annual,submit",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
08b3d413-6188-4fa2-bf11-4ec5cbd1be8b,4. Request Workflow in HRIS,4.2 Example of Employee Request,"An employee, Jane Doe, wishes to take leave from April 10 to April 20. She logs into the HRIS, selects the dates, and submits her request. Her manager receives a notification and can approve or deny the request.","april,request,employee,jane,wishes",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
bd61556a-a052-47f8-a176-bc064b8d4ef0,5. Approval SLA,5.1 Approval Process,"Immediate Supervisor: All leave requests must be approved by the employee’s direct supervisor. HR Review: Once approved by the supervisor, the request will be reviewed by HR for compliance with company policy.","supervisor,approved,immediate,leave,requests",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
e59a2ac5-6a7e-4099-aa9f-2604f6bbbfb5,5. Approval SLA,5.2 Timeframe,"Requests should be approved or denied within 5 business days. If a supervisor does not respond within this timeframe, the request will be automatically escalated to the next level of management.","within,requests,approved,denied,business",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
43073470-6ca6-4207-bcb6-e620a075a27b,5. Approval SLA,5.3 Escalation Process,"If a request is denied, the employee can appeal to HR within 3 business days of the denial. HR will review the appeal and provide a final decision within 5 business days.","appeal,within,business,days,request",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
24bc8ac4-f5cb-445f-aabd-b1acd2ca2a10,6. Special Cases,6.1 Public Holidays,"If a public holiday falls within an employee's scheduled leave, that day will not be deducted from their annual leave balance.","leave,public,holiday,falls,within",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
66cfb511-79c6-4599-b8b5-da3490fb3c11,6. Special Cases,6.2 Maternity/Paternity Leave,"Employees on maternity or paternity leave will not accrue annual leave during their leave period. However, upon return, they will receive a onetime credit of 5 additional days.","leave,employees,maternity,paternity,accrue",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
f1702cd8-b23e-4d8f-87fc-117859cc8ee3,6. Special Cases,6.3 Unpaid Leave,Employees on unpaid leave will not accrue annual leave during the unpaid period.,"unpaid,leave,employees,accrue,annual",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
a46305ad-fd61-44d3-b337-f3933b28dac5,6. Special Cases,6.4 Long Service Awards,Employees who have completed 10 years of service will receive an additional 5 days of annual leave as a long service award.,"service,employees,completed,years,receive",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
a0fd0a05-7f2d-40d7-9217-06d31050acf6,7. Compliance Notes,7.1 Global Practices,"This policy is designed to comply with local labor laws and international standards, such as the EU Working Time Directive, which mandates a minimum of 4 weeks of paid annual leave.","policy,designed,comply,local,labor",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
641da751-ae45-4d2a-96f7-ca5ee402f455,7. Compliance Notes,7.2 Examples,"In the EU, employees are entitled to a minimum of 20 days of paid leave, which aligns with our policy of 26 days for fulltime employees. In the US, there is no statutory minimum, but we aim to provide competitive leave benefits.","employees,minimum,days,leave,entitled",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
c754ca1a-c033-4892-aa62-038893052de8,Appendix,Glossary of Definitions,"Annual Leave: Paid time off work for vacation or personal reasons. HRIS: Human Resources Information System, a software application for managing HR functions. Prorata: A method of calculating entitlement based on the proportion of time worked.","time,annual,leave,paid,work",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
a2f7887d-a3ed-4258-bc17-54bcbbef1552,Appendix,Related Policies,Sick Leave Policy Remote Work Policy Employee Leave of Absence Policy,"policy,leave,sick,remote,work",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
5b6ffb46-9e40-426a-b3ab-58df647d5fa8,Appendix,FAQ,"Q1: Can I take my annual leave in one go? A1: Yes, as long as it is approved by your supervisor and does not exceed your accrued leave balance. Q2: What happens if I don’t use my leave? A2: Unused leave beyond the carryover limit will be forfeited unless otherwise agreed upon. Q3: How do I appeal a denied leave request? A3: You can appeal to HR within 3 business days of the denial. Q4: Are there any restrictions on when I can take my leave? A4: Yes, operational needs may restrict leave during peak business periods. Always check with your supervisor. Q5: What if I have questions about my leave balance? A5: You can check your leave balance in the HRIS or contact HR for assistance.  This policy is subject to review and modification by Global Service Firm as needed. Employees will be notified of any changes.","leave,your,balance,take,supervisor",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\leave_policy
