id,section,subsection,chunk,keywords,input_file
f25eb5ae-c15e-4d22-8afe-e1f028593328,,,"Health & Safety Policy (EN, 202501) # Health & Safety Policy Company: Global Service Firm Version: 202501 Effective Date: [Insert Date]","health,safety,policy,date,company",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
3e78ffed-cf64-4d06-bbc4-7c5477311d00,Purpose and Scope,Definition,"The purpose of this Health & Safety Policy is to establish a framework for promoting a safe and healthy work environment for all employees, clients, and visitors. This policy applies globally across all company locations and encompasses all aspects of health and safety, including office environments, remote work, client sites, and travel.","health,safety,policy,work,purpose",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
16ef8d7d-be65-41b6-8069-9262a8c2af4f,Legal Compliance and Standards References,Definition,Our company is committed to complying with all applicable health and safety laws and regulations. This includes adherence to international standards such as: ISO 45001: Occupational Health and Safety Management Systems WHO Guidelines on Workplace Health and Safety ILO Occupational Safety and Health Convention We will regularly review and update our practices to ensure compliance with evolving standards.,"health,safety,standards,occupational,company",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
35e7f629-4c3a-4853-b9ca-399223377e39,Responsibilities,Employees,Follow all health and safety guidelines. Report any unsafe conditions or incidents immediately. Participate in health and safety training sessions.,"health,safety,follow,guidelines,report",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
5019ed2c-dfe7-47a0-80e3-b400f9fb77c4,Responsibilities,Managers,Ensure that health and safety policies are implemented within their teams. Conduct regular safety checks and risk assessments. Provide necessary resources for health and safety compliance.,"safety,health,ensure,policies,implemented",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
749d17b9-7b98-44fe-937b-47c36cead185,Responsibilities,Health & Safety Officers,Monitor compliance with health and safety regulations. Conduct training sessions and workshops. Assist in incident investigations and reporting.,"monitor,compliance,health,safety,regulations",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
f06e1ef1-cbd3-47bf-b031-376af2d69f7d,Responsibilities,Human Resources,Maintain records of health and safety training. Support managers in implementing health and safety policies. Facilitate communication regarding health and safety matters.,"health,safety,maintain,records,training",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
90b423d5-145f-46e9-99f6-20bcbc7de470,Responsibilities,Leadership,Foster a culture of safety within the organization. Allocate resources for health and safety initiatives. Review and approve health and safety policies annually.,"safety,health,foster,culture,within",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
04a3373b-2445-4354-91ab-2e7acfeaaa35,General Safety Rules,Office Environment,Maintain clear walkways and exits. Store materials securely to prevent spills or falls. Keep emergency exits unobstructed.,"exits,maintain,clear,walkways,store",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
b3d1c1ca-38e4-436b-9445-11076017eef8,General Safety Rules,Remote Work,Ensure home office setups comply with ergonomic guidelines. Take regular breaks to prevent fatigue. Maintain clear communication with managers regarding work hours and tasks.,"ensure,home,office,setups,comply",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
56cf1397-87f5-4cda-b027-1368f4d6d044,General Safety Rules,Client Site,Follow all clientspecific health and safety protocols. Wear appropriate personal protective equipment (PPE) as required. Report any safety concerns to the client representative immediately.,"safety,follow,clientspecific,health,protocols",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
e5b966be-902b-40c1-9dd5-ea0b2a1022fd,General Safety Rules,Travel,Adhere to travel safety guidelines provided by the company. Stay informed about local health and safety regulations. Keep emergency contacts readily available during travel.,"travel,safety,adhere,guidelines,provided",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
afc92dba-0152-4839-bf22-d3baffffc5f8,Workplace Ergonomics and Wellbeing,Ergonomic Guidelines,Adjust workstation height to ensure elbows are at a 90degree angle. Use chairs that provide lumbar support. Position screens at eye level to reduce neck strain.,"adjust,workstation,height,ensure,elbows",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
109e997e-8d67-4554-af4c-c6d0d84a4c41,Workplace Ergonomics and Wellbeing,Wellbeing Initiatives,Promote regular physical activity through companysponsored programs. Provide resources for mental health support. Encourage social interactions among employees to foster a supportive environment.,"promote,regular,physical,activity,through",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
a7021666-20c0-4544-b70c-d9fe60df4701,"Fire Safety, Emergency Exits, and Evacuation Procedures",Fire Safety,Conduct regular fire drills at least twice a year. Install smoke detectors and fire extinguishers in all office locations. Designate fire wardens responsible for ensuring safe evacuation.,"fire,conduct,regular,drills,least",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
dad40b7b-6762-49d4-acf6-071a5c5ede50,"Fire Safety, Emergency Exits, and Evacuation Procedures",Emergency Exits,Clearly mark all emergency exits. Maintain unobstructed access to exits at all times. Post evacuation maps in visible locations.,"exits,clearly,mark,emergency,maintain",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
86061684-a7eb-45dd-988a-ddbe260d483f,"Fire Safety, Emergency Exits, and Evacuation Procedures",Evacuation Procedures,1. Remain calm and follow the nearest exit route. 2. Do not use elevators during an evacuation. 3. Assemble at the designated meeting point and await further instructions.,"remain,calm,follow,nearest,exit",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
96a18a46-08f3-4301-8c02-668ef3317c2f,First Aid and Incident Reporting Workflow,First Aid,First aid kits are available in all office locations. Designated first aiders are trained to provide assistance.,"first,kits,available,office,locations",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
1ae94eb2-a457-42b4-8ad1-bce126bf3f42,First Aid and Incident Reporting Workflow,Incident Reporting,1. Report any workplace injuries or near misses to a manager immediately. 2. Complete an incident report form within 24 hours. 3. The Health & Safety Officer will investigate and document the incident.,"report,incident,workplace,injuries,near",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
352a3496-dfc0-4f39-96cc-60c895f4dd27,Risk Assessments and Hazard Identification,Definition,"Conduct regular risk assessments to identify potential hazards. Utilize a risk assessment table to document findings and mitigations. Example Risk Assessment Table | Hazard | Risk Level | Mitigation Strategies | |||| | Slips, trips, falls | Medium | Regular cleaning, clear walkways | | Ergonomic strain | High | Ergonomic assessments, workstation adjustments | | Fire hazards | High | Regular fire drills, maintenance checks |","risk,regular,assessments,hazards,assessment",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
4a67e957-d16b-4b28-8fdc-71b084840b2e,Remote Work & Home Office Safety,Equipment,Ensure that employees have ergonomic chairs and desks. Provide necessary equipment such as monitors and keyboards.,"ensure,employees,ergonomic,chairs,desks",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
3ce95926-26e5-4951-8804-8b4487b84aff,Remote Work & Home Office Safety,Breaks,Encourage employees to take breaks every hour to reduce strain. Promote stretching exercises during breaks.,"breaks,encourage,employees,take,every",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
8ef1241e-ee8e-4008-8bc1-6f6f48f9df13,Remote Work & Home Office Safety,Ergonomics,Provide guidelines for setting up a home office. Offer virtual ergonomic assessments.,"provide,guidelines,setting,home,office",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
b650bd31-146f-4241-81ae-60b2f612181f,Mental Health and Stress Prevention,Definition,Promote a culture that prioritizes mental health. Provide access to mental health resources and counseling services. Encourage open discussions about stress and workload management.,"mental,health,promote,culture,prioritizes",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
7771fca8-be04-477c-bfbb-6091a1679a8c,Training and Drills,Frequency,Conduct health and safety training annually. Fire drills should occur at least twice a year.,"conduct,health,safety,training,annually",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
c9e04b96-e6c5-427f-964b-b74f446a1359,Training and Drills,Scope,"Training will cover general safety, emergency procedures, and specific risks associated with roles.","training,cover,general,safety,emergency",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
c5d69e45-fae7-4194-aa52-7412c9389bd9,Special Considerations,Pregnant Employees,Conduct risk assessments to ensure a safe working environment. Offer flexible working arrangements as needed.,"working,conduct,risk,assessments,ensure",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
8334b3b9-8a99-45b4-9939-582db2a1cb47,Special Considerations,People with Disabilities,Ensure that all facilities are accessible. Provide necessary accommodations for employees with disabilities.,"ensure,facilities,accessible,provide,necessary",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
843cd451-4e86-4426-83b9-5002730c097c,Special Considerations,High-Risk Roles,Implement additional training and safety measures for highrisk positions. Conduct regular health checks for employees in highrisk roles.,"highrisk,implement,additional,training,safety",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
af2f2e61-ca4a-46d2-bc1b-4ea1d79571b0,"Continuous Monitoring, Audits, and Improvements",Definition,Conduct regular audits of health and safety practices. Gather employee feedback to identify areas for improvement. Update policies and procedures based on audit findings and feedback.,"feedback,conduct,regular,audits,health",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\health_safety_policy
