id,section,subsection,chunk,keywords,input_file
e15cbc58-e20e-40cd-96af-55a1a2588447,,,"Data Privacy & GDPR Policy (EN, 202501) # Data Privacy & GDPR Policy Version: 202501 Company: Global Service Firm Effective Date: [Insert Date] Review Date: [Insert Date]","date,data,privacy,gdpr,policy",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\data_privacy_gdpr_policy
095bc42a-453e-460b-ac3f-40544ff76e7b,Purpose & Scope,Definition,"This Data Privacy & GDPR Policy outlines Global Service Firm's commitment to protecting personal data in compliance with applicable data protection laws, including the General Data Protection Regulation (GDPR). This policy applies to all employees, contractors, candidates, and customers, where applicable, across our global operations, including those within the European Union (EU).","data,gdpr,policy,global,applicable",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\data_privacy_gdpr_policy
34d73bac-2d40-483e-a89e-8f4b688c0fa7,Key Principles,Definition,"Global Service Firm adheres to the following key principles regarding data privacy: 1. Lawfulness, Fairness, and Transparency: Personal data will be processed lawfully, fairly, and in a transparent manner. 2. Purpose Limitation: Data will only be collected for specified, legitimate purposes and not further processed in a way incompatible with those purposes. 3. Data Minimization: We will ensure that the personal data collected is adequate, relevant, and limited to what is necessary for the intended purposes. 4. Accuracy: We will take reasonable steps to ensure that personal data is accurate and kept up to date. 5. Storage Limitation: Personal data will be retained only as long as necessary for the purposes for which it was collected. 6. Integrity and Confidentiality: We will implement appropriate security measures to protect personal data against unauthorized access, loss, or damage. 7. Accountability: We will be accountable for our compliance with these principles and will maintain documentation demonstrating our adherence.","data,personal,purposes,collected,principles",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\data_privacy_gdpr_policy
44172c1c-9d5b-4910-a387-8b4fea0c3d27,Roles & Responsibilities,Definition,Data Controller: Global Service Firm acts as the data controller for personal data processed in connection with its operations. Data Processor: Thirdparty vendors who process personal data on behalf of Global Service Firm are considered data processors and must comply with our data protection requirements. Data Protection Officer (DPO): The DPO is responsible for overseeing data protection strategy and implementation to ensure compliance with GDPR. Human Resources (HR): HR is responsible for managing employee data throughout the employment lifecycle. Information Technology (IT): IT is responsible for implementing security measures and ensuring data integrity. Managers: Managers are responsible for ensuring their teams comply with this policy and for reporting any data breaches or incidents. Employees: All employees must adhere to this policy and report any concerns regarding data privacy.,"data,responsible,protection,controller,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\data_privacy_gdpr_policy
69fc9f36-f5f1-4872-a8b1-e404c8c279c6,Lawful Bases for Processing,Definition,"Global Service Firm processes personal data based on the following lawful bases: 1. Contract: Processing necessary for the performance of a contract (e.g., employment contracts). 2. Legal Obligation: Processing necessary for compliance with a legal obligation (e.g., tax reporting). 3. Vital Interests: Processing necessary to protect someone’s life (e.g., health data in emergencies). 4. Public Interest: Processing necessary for the performance of a task carried out in the public interest (e.g., compliance with regulatory requirements). 5. Legitimate Interests: Processing necessary for the legitimate interests pursued by Global Service Firm or a third party, except where such interests are overridden by the data subject's interests (e.g., fraud prevention). 6. Consent: Processing based on the data subject's explicit consent (e.g., marketing communications).","processing,necessary,interests,data,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\data_privacy_gdpr_policy
75af0c6c-8187-4535-8983-d3ee87d09550,Lawful Bases for Processing,Examples,Contract: Payroll processing for employees. Legal Obligation: Retaining records for tax purposes. Consent: Sending promotional emails to customers.,"contract,payroll,processing,employees,legal",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\data_privacy_gdpr_policy
41d7e501-939a-410b-9c5c-20138faf2866,Data Subject Rights,Definition,Data subjects have the following rights under GDPR: 1. Right of Access: The right to request access to personal data. 2. Right to Rectification: The right to request correction of inaccurate personal data. 3. Right to Erasure: The right to request deletion of personal data. 4. Right to Restriction of Processing: The right to request restriction of processing personal data. 5. Right to Data Portability: The right to request transfer of personal data to another controller. 6. Right to Object: The right to object to the processing of personal data.,"right,data,personal,request,processing",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\data_privacy_gdpr_policy
46bfbc32-0c0b-4cf1-aa06-55607d622524,Data Subject Rights,Handling Timelines,"Requests will be acknowledged within 5 business days. Responses will be provided within 30 days, extendable to 60 days for complex requests.","days,requests,within,acknowledged,business",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\data_privacy_gdpr_policy
edb4b5a6-809c-4c74-8c48-8c249f20e3c8,DSAR/Request Handling Process,Definition,1. Intake: Data subject submits a request via email to the designated contact mailbox. 2. Verification: Verify the identity of the requester. 3. Response: Provide the requested information or action within the stipulated timeline.,"intake,data,subject,submits,request",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\data_privacy_gdpr_policy
5e279491-62e9-4a95-8822-88246d1087e5,DSAR/Request Handling Process,SLA,Acknowledge requests within 5 business days. Fulfill requests within 30 days.,"requests,within,days,acknowledge,business",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\data_privacy_gdpr_policy
