id,section,subsection,chunk,keywords,input_file
9f96eba0-edf3-491d-987e-f4c1f58018e6,,,"Performance Review & Appraisal Policy (EN, 202501, Expanded) # Performance Review & Appraisal Policy Company: Global Service Firm Region: Global (EN) Version: 202501","performance,review,appraisal,policy,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
4c61ea8e-bc51-4fc0-8357-1cf68046176c,Purpose and Scope,Definition,"The Performance Review & Appraisal Policy establishes a structured process for evaluating employee performance, aligning individual goals with organizational objectives, and facilitating career development. This policy applies to all employees across all regions and levels within Global Service Firm.","performance,policy,review,appraisal,establishes",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
3f63312f-eda5-48c1-8e84-eeb11b1d75d7,Review Cycle,Annual Review,Frequency: Conducted once a year. Timing: Typically scheduled in Q4 to align with yearend evaluations. Focus: Comprehensive assessment of employee performance over the past year.,"year,frequency,conducted,once,timing",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
5c58215a-8d15-439a-9a22-f18bbadc2d12,Review Cycle,Mid-Year Review,"Frequency: Conducted once a year, midway through the annual cycle. Timing: Typically scheduled in Q2. Focus: Progress check on goals, adjustments as necessary, and feedback on performance.","frequency,conducted,once,year,midway",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
50745160-1bf6-4d10-b249-447adef56f5d,Review Cycle,Probationary Reviews,Frequency: Conducted at the end of the probationary period (usually 36 months). Focus: Evaluation of new hires to determine fit and performance.,"frequency,conducted,probationary,period,usually",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
c1243749-af16-47e8-a991-6b084b1dccb7,Rating Scales,Definition,"Performance will be evaluated on a scale of 1 to 5, with detailed behavioral anchors for each rating: | Rating | Description | Behavioral Anchors | |||| | 1 | Unsatisfactory | Consistently fails to meet job requirements; lacks necessary skills; does not respond to feedback. | | 2 | Needs Improvement | Occasionally meets expectations but often falls short; requires supervision to complete tasks; limited engagement. | | 3 | Meets Expectations | Consistently meets job requirements; completes tasks effectively; demonstrates adequate skills and engagement. | | 4 | Exceeds Expectations | Often exceeds job requirements; takes initiative; actively contributes to team success; positively influences others. | | 5 | Outstanding | Consistently exceeds job requirements; demonstrates exceptional skills; leads initiatives; serves as a role model for others. |","requirements,consistently,skills,meets,expectations",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
9b346a2d-ec67-4c89-b3c7-52b1963fac9a,Rating Scales,Examples,1 (Unsatisfactory): An employee fails to complete assigned projects on time and does not respond to constructive feedback. 3 (Meets Expectations): An employee consistently meets deadlines and collaborates well with team members. 5 (Outstanding): An employee not only meets all objectives but also introduces innovative solutions that enhance team productivity.,"employee,meets,team,unsatisfactory,fails",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
9d3708e3-7af6-4e65-b003-e6444caedcbd,Goal Setting and Alignment with Company Strategy,Definition,"Employees will set SMART (Specific, Measurable, Achievable, Relevant, Timebound) goals aligned with company objectives during the annual review.","employees,smart,specific,measurable,achievable",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
881c69bf-c495-4ee0-b1f4-fbc510b8b7cc,Goal Setting and Alignment with Company Strategy,Goal-Setting Process,1. Initial Discussion: Managers and employees discuss company goals and how individual contributions align. 2. Drafting Goals: Employees draft their goals using the SMART criteria. 3. Review and Finalization: Goals are reviewed and finalized in collaboration with the manager.,"goals,employees,initial,discussion,managers",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
4a0f390f-ac1b-4e9d-ae35-e2592e6aed1a,Goal Setting and Alignment with Company Strategy,Example Goal,Goal: Increase client satisfaction ratings by 15% by Q4 through improved communication and service delivery.,"goal,increase,client,satisfaction,ratings",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
a15887b7-6cd8-499e-b6b1-caf2c5bceff7,Continuous Feedback Practices,Definition,"To foster a culture of continuous improvement, managers are encouraged to provide ongoing feedback outside of formal review periods. This includes: Regular checkins (monthly or biweekly). Constructive feedback on specific projects or tasks. Recognition of achievements in realtime.","feedback,foster,culture,continuous,improvement",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
ae4288f4-d593-4009-9dad-7e4743a2468d,Roles and Responsibilities,Employee,Actively participate in the review process. Set and pursue development goals. Seek feedback and guidance from managers.,"actively,participate,review,process,pursue",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
91608b24-e346-4145-8f0f-7c92b40708c9,Roles and Responsibilities,Manager,Provide regular feedback and support. Conduct performance reviews and document outcomes. Facilitate the goalsetting process.,"provide,regular,feedback,support,conduct",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
a203f319-4962-45a9-aafe-de98fc6752af,Roles and Responsibilities,HR,Provide training and resources for managers and employees. Ensure compliance with the performance review process. Maintain performance documentation.,"performance,provide,training,resources,managers",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
f58b9ddb-1d9a-4122-bb7d-ab2308d4e2ea,Roles and Responsibilities,Calibration Committees,Review performance ratings for consistency and fairness across departments. Address discrepancies in ratings.,"ratings,review,performance,consistency,fairness",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
61071937-978e-41dc-a7ee-6fa59af28f0f,Documentation Requirements,Definition,All performance reviews must be documented using the official review forms. Documentation should include: Completed review forms. Goalsetting forms. Notes from feedback sessions. Any relevant performance data.,"forms,performance,review,reviews,documented",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
7c8146eb-cbc2-4858-bf8b-33f901d4bd5c,Career Development & Training Link,Definition,"Performance reviews will identify training and development needs, linking them to: Professional development opportunities. Training programs that align with individual career aspirations.","training,development,performance,reviews,identify",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
adbfe3c7-6b99-4ff1-85c4-6b476f7f4f7d,Promotion and Compensation Link,Definition,Performance ratings will directly influence: Promotion eligibility. Salary adjustments and bonuses. Recognition programs.,"performance,ratings,directly,influence,promotion",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\performance_review_policy_expanded
