id,section,subsection,chunk,keywords,input_file
c1254a89-d7de-4b50-b4ac-3f9fea637e62,,,"IT Security & Acceptable Use Policy (EN, 202501) # IT Security & Acceptable Use Policy Version: 202501 Company: Global Service Firm Region: Global (EN)","security,acceptable,policy,global,version",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
53a673d4-9adb-45e4-ab2a-a44e2fb77d62,Purpose & Scope,Definition,"The purpose of this IT Security & Acceptable Use Policy is to establish guidelines for the secure use of company technology resources. This policy applies to all employees, contractors, and thirdparty users who access company devices, networks, cloud services, and thirdparty tools.","policy,company,thirdparty,purpose,security",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
c6fd3500-705a-496c-97a9-05a8756f5153,Purpose & Scope,Devices Covered,"Laptops and desktops Mobile devices (smartphones, tablets) Personal devices under BYOD (Bring Your Own Device) policy","devices,laptops,desktops,mobile,smartphones",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
208d5dc0-cb6c-47ac-a423-5fcbbe255e3b,Purpose & Scope,Networks,Companyowned networks Remote access via VPN Public WiFi connections,"companyowned,networks,remote,access,public",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
71cc30b0-002e-492c-9551-229fe10860ad,Purpose & Scope,Cloud Services,"Approved cloud applications (e.g., Google Workspace, Microsoft 365) Thirdparty tools and services","approved,cloud,applications,google,workspace",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
5551a549-50fc-4e58-85cd-592fcbc9b1ee,User Responsibilities,Security Hygiene,"Regularly update software and applications. Use strong, unique passwords for different accounts. Example: An employee receives a prompt to update their software and neglects it. This could lead to vulnerabilities that cybercriminals exploit.","update,software,regularly,applications,strong",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
9cc4584b-d9d9-47c5-a9b1-74b9b27c37f2,User Responsibilities,Reporting Incidents,"Report any suspicious activity or security incidents immediately to IT. Example: An employee notices unusual login attempts on their account and reports it, allowing IT to take action before any damage occurs.","report,suspicious,activity,security,incidents",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
fa04861e-4622-424f-ab36-5177ff39a8e7,User Responsibilities,Training,Complete mandatory security training annually. Manager Checklist: Ensure all team members complete training. Schedule followup sessions for those who miss deadlines.,"complete,training,mandatory,security,annually",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
347145f2-33b0-4593-b083-e2c8069e8655,Authentication,Password Rules,"Minimum of 12 characters, including uppercase, lowercase, numbers, and symbols. Change passwords every 90 days.","minimum,characters,including,uppercase,lowercase",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
e298e27e-94aa-498c-9897-112b53069bdd,Authentication,Multi-Factor Authentication (MFA),MFA is required for all critical systems.,"required,critical,systems",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
be957e23-7d24-4eff-afd6-1b4e258cb244,Authentication,Single Sign-On (SSO),Use SSO where available to streamline access and enhance security.,"where,available,streamline,access,enhance",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
cc9ec900-3ce1-4873-b11b-d8fe14e67443,Authentication,Password Managers,Employees are encouraged to use companyapproved password managers. Summary Table: Authentication Requirements for New Hires | Requirement | Description | ||| | Password Length | Minimum 12 characters | | Password Change Frequency | Every 90 days | | MFA | Required for critical systems | | SSO | Use where available | | Password Manager | Companyapproved only |,"password,companyapproved,employees,encouraged,managers",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
1efce160-6420-42e9-b924-a6c207f5d3e1,Device Security,Laptops and Mobiles,Enable encryption on all devices. Use screen locks to prevent unauthorized access.,"enable,encryption,devices,screen,locks",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
5d9cb082-a8f0-4630-9c00-88cd9a05fbb5,Device Security,BYOD,Ensure personal devices comply with company security standards. Example: An employee uses their personal tablet for work but fails to enable encryption. This could expose sensitive data if the device is lost.,"personal,ensure,devices,comply,company",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
513bc62a-ad04-48ca-9e66-faf441818f1f,Device Security,Patching,Regularly update operating systems and applications. Manager Checklist: Verify that team members' devices are encrypted. Ensure all devices are patched regularly.,"regularly,devices,update,operating,systems",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
d5dd2a52-bf2c-462b-bede-e1cd7bc10bb6,Network Security,VPN Usage,Always connect to the company VPN when accessing company resources remotely.,"company,always,connect,when,accessing",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
9d613cd9-30c0-40ea-ab88-b190e782407c,Network Security,Public Wi-Fi Restrictions,"Avoid accessing sensitive information over public WiFi networks. Example: An employee accesses their email over a public WiFi network at a coffee shop, risking exposure to data interception.","over,public,wifi,avoid,accessing",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\it_security_acceptable_use
