id,section,subsection,chunk,keywords,input_file
6972ef20-90e0-4e44-b5e5-ff616419f99d,,,"Whistleblowing & Ethics Reporting Policy (EN, 202501) # Whistleblowing & Ethics Reporting Policy Version: 202501 Company: Global Service Firm Region: Global (EN)","whistleblowing,ethics,reporting,policy,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\whistleblowing_policy
e0b87afd-e580-4a5b-8c36-b3d3e03514ab,Purpose and Scope,Definition,"The purpose of this Whistleblowing & Ethics Reporting Policy is to provide a clear framework for employees, contractors, third parties, and suppliers to report concerns regarding unethical or illegal activities within Global Service Firm. This policy aims to foster a culture of integrity and accountability, ensuring that all employees feel safe and supported when raising concerns. Scope: This policy applies to all employees, contractors, third parties, and suppliers associated with Global Service Firm globally.","policy,employees,contractors,third,parties",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\whistleblowing_policy
550e5e4d-753d-45b7-b4cd-830a94ae143c,Guiding Principles,Definition,"1. Confidentiality: All reports will be treated confidentially to the extent possible. The identity of the whistleblower will be protected unless disclosure is required by law. 2. NonRetaliation: Global Service Firm prohibits any form of retaliation against individuals who report concerns in good faith. Employees can report issues without fear of negative consequences. 3. Independence: Investigations will be conducted independently and objectively, ensuring that all parties are treated fairly. 4. Fairness: All reports will be assessed impartially, and all parties involved will have the opportunity to present their side of the story. 5. Transparency: While maintaining confidentiality, Global Service Firm commits to keeping reporters informed about the progress and outcome of their reports.","reports,confidentiality,treated,global,service",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\whistleblowing_policy
7385bde1-01b2-4fbf-b5fa-4f4ac0be9dda,Definitions,Definition,Whistleblowing: The act of reporting suspected unethical or illegal activities within the organization. Ethics Violation: Any action that contravenes the ethical standards and policies of Global Service Firm. Retaliation: Any adverse action taken against an individual for reporting a concern in good faith. Anonymous Reporting: A method of reporting concerns without disclosing the identity of the whistleblower. Investigation: The process of examining a reported concern to determine its validity and necessary corrective actions.,"reporting,action,concern,whistleblowing,suspected",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\whistleblowing_policy
77eca5e8-5dc7-4d14-a63d-817ab4b65e75,Types of Reportable Concerns,Definition,"Employees are encouraged to report concerns related to the following: Fraud: Any act of deception for personal or financial gain. Bribery: Offering, giving, receiving, or soliciting something of value to influence a business decision. Harassment: Unwanted behavior that creates a hostile or intimidating work environment. Discrimination: Unfair treatment of individuals based on race, gender, age, religion, or other protected characteristics. Conflicts of Interest: Situations where personal interests may interfere with professional obligations. Safety: Any concerns regarding workplace safety or health risks. Data Misuse: Unauthorized access, use, or disclosure of sensitive information.","concerns,personal,safety,employees,encouraged",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\whistleblowing_policy
98b70c5d-f28e-4e7e-b35e-1b6543c5a39f,Reporting Channels,Definition,Employees can report concerns through the following channels: 1. Internal Hotline/Email: Directly contact the designated hotline or email for immediate assistance. 2. Anonymous Web Platform: Use the secure online platform for anonymous reporting. 3. Direct HR or Compliance Contact: Reach out directly to the HR or Compliance department for assistance.,"hotline,email,directly,contact,assistance",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\whistleblowing_policy
fca5bcdb-d544-4ad6-92bd-ac2fbd9cd727,How to Submit a Report,Definition,"To submit a report, follow these steps: 1. Identify the Concern: Clearly define the issue you wish to report. 2. Choose a Reporting Channel: Decide whether to report anonymously or disclose your identity. 3. Provide Details: Include all relevant information, such as dates, locations, and individuals involved. 4. Submit the Report: Use your chosen channel to submit the report. 5. Acknowledge Receipt: Expect an acknowledgment of your report within a specified timeframe.","report,submit,your,channel,follow",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\whistleblowing_policy
04f9b791-ca2b-4ffe-97c3-ce272625f9f9,Process Flow,Definition,"1. Intake & Acknowledgement: Receipt of the report is acknowledged within 5 business days. 2. Preliminary Review: A preliminary assessment is conducted to determine if the report warrants further investigation. 3. Investigation: A thorough investigation is conducted by qualified personnel, ensuring confidentiality and fairness. 4. Outcome & Corrective Action: Findings are documented, and necessary corrective actions are recommended. 5. Appeal / Escalation: If the reporter or respondent disagrees with the outcome, they may appeal the decision through designated channels.","investigation,report,preliminary,conducted,outcome",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\whistleblowing_policy
8385eef9-3d6d-4e25-99d8-3470928f50a9,Rights & Responsibilities,Reporters,Right to confidentiality and protection against retaliation. Responsibility to provide accurate and complete information.,"right,confidentiality,protection,against,retaliation",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\whistleblowing_policy
a0a1da9e-47dc-4c6d-8e91-2fe0694111ff,Rights & Responsibilities,Respondents,Right to a fair investigation and the opportunity to respond to allegations. Responsibility to cooperate with the investigation.,"investigation,right,fair,opportunity,respond",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\whistleblowing_policy
