id,section,subsection,chunk,keywords,input_file
584be94d-9438-4ed1-8552-7bd7d40704a5,,,"Employee Grievance & Disciplinary Policy (EN, 202501) # Employee Grievance & Disciplinary Policy Version: 202501 Company: Global Service Firm Effective Date: [Effective Date]","employee,grievance,disciplinary,policy,effective",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
510ae4e4-2f27-4fb2-862f-28c794152771,Purpose & Scope,Definition,"This Employee Grievance & Disciplinary Policy aims to provide a structured process for employees to voice concerns and address disciplinary matters within Global Service Firm. This policy applies to all employees, contractors, and temporary staff across all locations where the company operates.","disciplinary,policy,employees,employee,grievance",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
d478697d-6c37-4a7e-be9b-1d37c103f434,Guiding Principles,Definition,"The following principles guide the implementation of this policy: Fairness: All grievances and disciplinary actions will be handled fairly, ensuring that all parties are treated equitably. Impartiality: Investigations and decisions will be made without bias or favoritism. Transparency: The processes will be clear and accessible to all employees. Timeliness: All grievances and disciplinary matters will be addressed promptly. Confidentiality: Information will be kept confidential to protect the privacy of all individuals involved. Nonretaliation: Employees who raise grievances or participate in investigations will not face retaliation or adverse consequences.","grievances,disciplinary,investigations,employees,following",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
e58af6ca-9743-4414-8c14-0166bf47eb73,Definitions,Definition,"Grievance: A formal complaint regarding workplace issues such as working conditions, workload, or interpersonal conflicts. Misconduct: Behavior that violates company policies or standards but is not severe enough to warrant immediate dismissal. Gross Misconduct: Serious violations that can lead to immediate termination, such as theft, violence, or harassment. Appeal: A request for a review of a decision made during the grievance or disciplinary process. Disciplinary Action: Any action taken by the company in response to employee misconduct.","misconduct,grievance,such,company,immediate",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
3f6f33fc-ce72-4f56-b1ec-c606217e9fc6,Grievance Procedure,How Employees Can Raise Complaints,"Employees can raise complaints through two routes: 1. Informal Resolution: Employees are encouraged to discuss grievances directly with their immediate supervisor or manager to seek resolution. 2. Formal Submission: If the issue is not resolved informally, employees may submit a formal grievance in writing to HR.","employees,resolution,formal,raise,complaints",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
cf51bfed-2b3a-49d8-a0f3-56043161bfdb,Grievance Procedure,Stages of the Grievance Procedure,"1. Informal Resolution Employees should approach their supervisor within two weeks of the incident. Supervisors should document the discussion and any actions taken. 2. Formal Submission If unresolved, employees submit a written grievance to HR within one week of the informal resolution attempt. HR will acknowledge receipt within three business days. 3. Investigation HR will investigate the grievance within ten business days. Employees may be asked to provide additional information. 4. Outcome HR will communicate the outcome within five business days of completing the investigation. 5. Appeal Employees may appeal the outcome within five business days by submitting a written appeal to HR. HR will review the appeal and provide a final decision within ten business days.","within,business,days,employees,appeal",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
ad6899bd-370b-4d73-a145-16e516c4bb47,Grievance Procedure,Timelines & Responsibilities,"Employee: Initiate grievance within two weeks. Supervisor/Manager: Respond to informal grievances within five business days. HR: Acknowledge formal grievances within three business days, complete investigations within ten business days, and communicate outcomes within five business days.","within,business,days,grievances,five",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
7e42f2cf-b1cb-4659-9d9a-eac6be195c4e,Disciplinary Procedure,Examples of Misconduct vs. Gross Misconduct,Misconduct: Frequent lateness Insubordination Poor performance Gross Misconduct: Theft or fraud Physical violence Harassment or discrimination,"misconduct,frequent,lateness,insubordination,poor",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
6f0f76c3-7d17-4520-8de5-e32ad26a3973,Disciplinary Procedure,Investigation Process,"HR will conduct a thorough investigation, which may include interviews with witnesses and review of relevant documents.","conduct,thorough,investigation,which,include",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
4f8c175e-2808-4963-9848-11be402aa1d3,Disciplinary Procedure,Stages of the Disciplinary Procedure,"1. Verbal Warning For minor misconduct, a verbal warning will be issued and documented. 2. Written Warning If behavior does not improve, a written warning will be issued, outlining the misconduct and expectations for improvement. 3. Final Warning Continued misconduct may result in a final warning, which clearly states that further violations could lead to termination. 4. Dismissal In cases of gross misconduct or repeated violations, termination may occur.","warning,misconduct,verbal,issued,written",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
b61e8d7b-521f-4771-88a6-93955e6f3a20,Disciplinary Procedure,Documentation Requirements,All warnings and disciplinary actions must be documented and retained in the employee's file.,"warnings,disciplinary,actions,documented,retained",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
442d348f-51b4-4c20-a301-dea83d1e630a,Rights of Employees During the Process,Definition,Representation: Employees have the right to be accompanied by a colleague or union representative during meetings. Response: Employees may respond to allegations and provide evidence in their defense. Appeal: Employees may appeal any disciplinary action taken against them.,"employees,appeal,representation,right,accompanied",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
885149be-f2ec-4bbe-9577-98d2d73f729a,Roles and Responsibilities,Definition,"HR: Oversee the grievance and disciplinary processes, ensuring compliance with policy and legal standards. Managers: Address informal grievances and implement disciplinary actions as necessary. Investigators: Conduct impartial investigations into grievances and disciplinary matters.","disciplinary,grievances,oversee,grievance,processes",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
249dbe7a-3c37-4a23-ab4b-19973665f56e,Escalation and Appeal Process,Definition,Employees may escalate grievances or disciplinary actions to higher management if they believe the process has not been followed correctly. Appeals must be submitted in writing to HR within five business days of the initial decision.,"employees,escalate,grievances,disciplinary,actions",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
46333893-bae5-4688-a705-a4b9203162bd,Special Cases,Definition,"Probationary Employees: The same procedures apply, but the company retains the right to terminate without formal warnings during the probationary period. Senior Managers: Grievances involving senior managers will be handled by the executive team or an external party to ensure impartiality. Remote Workers: Remote employees can raise grievances and face disciplinary actions through the same channels, with adaptations for virtual meetings as necessary.","probationary,employees,same,senior,managers",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
984b8ec8-a935-44db-8ef1-ec19e608c06b,Documentation & Record-Keeping,Definition,All documentation related to grievances and disciplinary actions will be retained for a minimum of three years from the date of the resolution.,"documentation,related,grievances,disciplinary,actions",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
489abcc9-91db-4351-b236-a93c8931d1c6,Training & Awareness,Definition,All employees will receive training on this policy during onboarding and at regular intervals thereafter. Managers will receive additional training on handling grievances and disciplinary actions.,"receive,training,employees,policy,during",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
354228b3-b426-4cbc-b2fa-5440647d487f,Monitoring and Review of Policy,Definition,This policy will be reviewed annually to ensure it remains effective and compliant with legal standards. Feedback from employees will be considered in the review process.,"policy,reviewed,annually,ensure,remains",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
159584e0-1cf0-498e-9b6f-d2589f120cd3,Case Scenarios,Definition,"1. Grievance About Workload: An employee feels overwhelmed by their workload and raises a grievance informally with their manager. The manager meets with the employee to discuss workload distribution and agrees to redistribute some tasks. 2. Misconduct in Remote Work: A remote employee is found to be consistently logging false hours. HR investigates the matter, providing the employee an opportunity to explain their side before issuing a written warning. 3. Harassment Complaint: An employee reports harassment by a colleague. HR conducts a thorough investigation, interviewing both parties and witnesses, and finds sufficient evidence to issue a final warning to the harasser.","employee,workload,grievance,manager,remote",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
d9878b97-adfb-42b1-b9de-ceb12c987a7f,Flowchart-Style Outline,Grievance Path:,1. Informal Resolution 2. Formal Submission 3. Investigation 4. Outcome 5. Appeal,"informal,resolution,formal,submission,investigation",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
dfa25d53-0270-4b43-b7be-5b1dc4e1c371,Flowchart-Style Outline,Disciplinary Path:,1. Investigation 2. Verbal Warning 3. Written Warning 4. Final Warning 5. Dismissal,"warning,investigation,verbal,written,final",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
6aa476f4-9e2d-455a-948c-8fe12956330f,Example Letters/Templates,Acknowledgement of Grievance,"[Date] [Employee Name] [Employee Address] Dear [Employee Name], We acknowledge receipt of your grievance submitted on [date]. We will begin our investigation and aim to provide you with an outcome within [timeline]. Sincerely, [HR Representative]","employee,date,name,address,dear",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
b0cd1c5f-8168-4ca7-857f-caff546cf015,Example Letters/Templates,Warning Letter,"[Date] [Employee Name] [Employee Address] Dear [Employee Name], This letter serves as a formal warning regarding your conduct on [date]. Please be advised that further violations may result in additional disciplinary action. Sincerely, [HR Representative]","employee,date,name,address,dear",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
874c8ef0-807a-4cad-8d69-90800a1f0106,Example Letters/Templates,Outcome Letter,"[Date] [Employee Name] [Employee Address] Dear [Employee Name], Following our investigation into your grievance submitted on [date], we have concluded that [outcome]. You have the right to appeal this decision within [timeline]. Sincerely, [HR Representative]","employee,date,name,address,dear",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\grievance_disciplinary_policy
