id,section,subsection,chunk,keywords,input_file
6c1d7fb5-67fc-4d46-a285-0ddcdf0fab22,,,"Termination & Exit Policy (EN, 202501) # Termination & Exit Policy Company: Global Service Firm Version: 202501 Region: Global (EN)","termination,exit,policy,global,company",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
fd89980b-a1bb-4248-ae83-83aa56b94380,Purpose and Scope,Definition,"The purpose of this Termination & Exit Policy is to outline the procedures and guidelines governing the termination of employment at Global Service Firm. This policy applies to all employees across all regions and aims to ensure a fair, transparent, and respectful process for both employees and the organization. It covers various forms of termination, including voluntary resignations, retirements, redundancies, dismissals, and mutual agreements.","termination,policy,employees,purpose,exit",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
689382cf-3f78-4739-aa24-b1ba8a3bdcda,Definitions,Definition,"Voluntary Resignation: The act of an employee choosing to leave the company of their own accord. Retirement: The voluntary departure of an employee from the workforce, typically upon reaching a certain age or after a designated period of service. Redundancy: Termination of employment due to the position being no longer needed, often as a result of organizational changes or economic conditions. Dismissal: Termination initiated by the employer for reasons related to the employee's performance or behavior. Termination for Cause: Dismissal due to serious misconduct or failure to meet job expectations. Mutual Agreement: A situation where both the employer and employee agree to end the employment relationship under specific terms.","employee,termination,voluntary,employment,dismissal",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
286877b2-af42-4f46-a862-b2290b26ba19,Guiding Principles,Definition,1. Fairness: All terminations will be conducted fairly and without bias. 2. Compliance: Adherence to local laws and regulations is paramount. 3. Dignity: Employees will be treated with respect throughout the termination process. 4. Documentation: All decisions and communications will be documented to ensure clarity and accountability. 5. Transparency: Clear communication will be maintained with employees regarding the reasons for termination.,"employees,termination,fairness,terminations,conducted",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
4614fc31-e0f3-4a3f-9bed-e6a6922c118c,Notice Periods,Definition,"Standard Durations: Employees are generally required to provide a notice period of two weeks to one month, depending on their role and length of service. Regional Variations: Notice periods may vary by region; local laws will be taken into account. Waivers: In certain circumstances, notice periods may be waived by mutual agreement.","notice,periods,standard,durations,employees",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
1effa674-32db-4d17-89de-8db8ac01e889,Resignation Workflow,Definition,1. Employee Notification: Employees must submit their resignation in writing to their immediate supervisor. 2. HR Confirmation: HR will acknowledge receipt of the resignation and confirm the last working day. 3. Exit Interview Scheduling: HR will schedule an exit interview to gather feedback and insights.,"resignation,exit,interview,employee,notification",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
7d42efdb-3b33-41de-9f59-285548d24662,Termination Initiated by Employer,1. Redundancy,"Employees will be informed of the redundancy situation and provided with options, including potential redeployment.","employees,informed,redundancy,situation,provided",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
231510cc-aa7b-4a27-98c6-74340b2d598a,Termination Initiated by Employer,2. Performance,Employees will receive feedback and support to improve performance before termination is considered.,"employees,receive,feedback,support,improve",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
27ac1f2f-d0a3-4b01-81c9-9d518f8216a3,Termination Initiated by Employer,3. Misconduct,Investigations will be conducted to ensure fair treatment before any dismissal for misconduct.,"investigations,conducted,ensure,fair,treatment",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
0b4156e5-cdda-4a0f-881a-5fc5b2f843de,Termination Initiated by Employer,4. Business Restructuring,Employees affected by restructuring will be notified in advance and provided with options for transition.,"employees,affected,restructuring,notified,advance",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
65e1b09d-a29b-420c-9c18-dfa0bf18b007,Role of HR and Line Managers,Definition,"HR: Responsible for overseeing the termination process, ensuring compliance with policies, and conducting exit interviews. Line Managers: Responsible for communicating performance issues or organizational changes and supporting employees through the transition.","responsible,overseeing,termination,process,ensuring",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
98aeb89f-87b7-4525-9f5d-0535f0ebe14d,Exit Interview Process,Objectives,Gather feedback on the employee's experience within the organization. Identify areas for improvement in workplace culture and processes.,"gather,feedback,employee,experience,within",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
77c5d1c7-3610-4e35-b678-4bf3d9916a4a,Exit Interview Process,Questions,What prompted your decision to leave? Were your job expectations met? What could have been done differently?,"what,your,prompted,decision,leave",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
279d5cdb-9338-4d9b-9a01-7972e8d58520,Exit Interview Process,Confidentiality,All information shared during the exit interview will be treated as confidential.,"information,shared,during,exit,interview",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
6319a029-7709-410e-85f6-acff5073e42c,Exit Interview Process,Reporting Insights,HR will compile insights from exit interviews to inform organizational improvements.,"compile,insights,exit,interviews,inform",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
fe8fb61e-03ae-4e2e-ba50-863629852739,Return of Company Property,Definition,"Employees must return all company property, including laptops, phones, and access cards, prior to their last working day. Access to company systems will be revoked on the last day of employment. IT offboarding will be conducted to ensure data security.","company,access,last,employees,return",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
81e4c737-992c-4e63-989d-bd4f992d6b49,Final Pay and Benefits,Definition,"Employees will receive their final paycheck, including any accrued leave, on the next scheduled pay date. Benefits will be reviewed, and employees will be informed of any continuation or termination.","employees,receive,final,paycheck,including",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
bebce866-c986-4f85-a876-ee78d7ee92c3,References and Employment Certificates,Definition,"Employees may request a reference letter or employment certificate, which will be provided upon request.","request,employees,reference,letter,employment",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
aebc6f54-387a-42ef-85f8-6628d244bad9,Special Cases,Definition,Probationary Employees: Different notice periods may apply. Executives: Termination processes may involve additional considerations and agreements. CrossBorder Contracts: Local laws will dictate the termination process.,"termination,probationary,employees,different,notice",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
a0952b59-7fc7-4e8d-a27d-c1e33a24d6ec,Post-Termination Restrictions,Definition,"Employees are reminded of their obligations regarding nondisclosure, noncompete clauses, and conflict of interest.","employees,reminded,obligations,regarding,nondisclosure",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
ec840d42-38d2-4707-92a2-5e1c437e5d1a,Grievance Escalation Process,Definition,Employees who feel their termination was unjust may escalate their grievance to HR or higher management.,"employees,feel,termination,unjust,escalate",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
d25b3793-fd62-42ca-ab19-8132c7299345,Documentation and Record-Keeping,Definition,All documentation related to terminations will be maintained in accordance with legal requirements and company policy.,"documentation,related,terminations,maintained,accordance",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\termination_exit_policy
