id,section,subsection,chunk,keywords,input_file
324c3ccf-2fe2-4b4c-b58d-6c775941bee0,,,"Flexible Work Arrangements Policy (EN, 202501) # Flexible Work Arrangements Policy Version: 202501 Company: Global Service Firm Region: Global (EN)","flexible,work,arrangements,policy,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
85395f86-4a73-4f07-a034-c2d41d917692,Purpose and Scope,Definition,"The Flexible Work Arrangements Policy is designed to support the diverse needs of our workforce while maintaining operational efficiency and productivity. This policy outlines the types of flexible work arrangements available to employees, the eligibility criteria, and the processes for requesting and approving such arrangements. It is applicable to all employees across all locations within Global Service Firm.","arrangements,flexible,work,policy,employees",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
f8bfcc85-9c16-420c-8199-9c0f9d0da7f0,Definitions,Definition,"1. FlexTime: A work schedule that allows employees to choose their starting and ending times, within certain limits set by management. 2. Compressed Workweek: An arrangement where employees work their total weekly hours in fewer than five days, such as four 10hour days. 3. Remote Days: Specific days when employees work from a location other than the office, usually their home. 4. Hybrid Schedules: A combination of inoffice and remote work days, allowing employees to split their time between home and the office. 5. PartTime: An arrangement where employees work fewer hours than the standard fulltime schedule, typically less than 30 hours per week. 6. Job Sharing: A flexible work arrangement where two employees share the responsibilities and hours of a single fulltime position.","work,employees,days,hours,than",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
00fee11c-c4c8-4e71-8150-3d0393d4df8f,Guiding Principles,Definition,"WorkLife Balance: We recognize the importance of balancing professional responsibilities with personal needs. Productivity: Flexible arrangements should enhance, not hinder, productivity. Employees are expected to meet performance expectations. Inclusion: All employees should have equal access to flexible work arrangements, fostering an inclusive workplace. Fairness: Decisions regarding flexible work arrangements will be made based on consistent criteria and without bias. Business Continuity: Flexible work arrangements should not compromise the operational needs of the organization.","flexible,arrangements,work,needs,productivity",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
297f354e-0aad-49c5-97b3-c88938487ec4,Eligibility Criteria and Approval Process,Eligibility Criteria,Employees must have completed a minimum of six months of service. Employees must demonstrate a consistent record of performance and reliability. Certain roles may be excluded based on operational requirements.,"employees,completed,minimum,months,service",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
9df694e6-d3b9-4684-9368-358c4c884b66,Eligibility Criteria and Approval Process,Approval Process,"1. Initial Request: Employees submit a formal request to their manager outlining the desired arrangement. 2. Manager Review: The manager evaluates the request based on business needs and employee performance. 3. HR Consultation: If approved, the manager consults with HR for compliance and documentation. 4. Final Approval: HR provides final approval and updates the HRIS system.","manager,request,final,approval,initial",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
0e86a178-d371-44ea-9d03-42441aff291d,Types of Arrangements,1. Flex-Time,Description: Employees select their start and end times within core hours. Pros: Increased autonomy Better worklife integration Cons: Potential scheduling conflicts Requires clear communication Example: An employee starts work at 7 AM and finishes at 3 PM to accommodate childcare.,"description,employees,select,start,times",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
3b770886-2427-4c31-8867-72b100f4738f,Types of Arrangements,2. Compressed Workweek,Description: Employees work longer hours over fewer days. Pros: Extended weekends Reduced commuting time Cons: Longer workdays may lead to fatigue May not suit all roles Example: An operations staff member works four 10hour days.,"longer,days,description,employees,work",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
d33d469a-1cb3-49ba-9bbb-e638ecafcee6,Types of Arrangements,3. Remote Days,Description: Employees work from home on designated days. Pros: Reduced commuting costs Increased flexibility Cons: Potential isolation Requires selfdiscipline Example: An employee works remotely every Wednesday.,"description,employees,work,home,designated",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
3a4e15af-16e3-4bb1-b27d-42d04acc01b8,Types of Arrangements,4. Hybrid Schedules,"Description: Employees alternate between inoffice and remote work. Pros: Flexibility with structure Balances collaboration and autonomy Cons: Coordination challenges Requires clear communication Example: An employee works in the office Monday and Tuesday, and remotely Wednesday through Friday.","description,employees,alternate,between,inoffice",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
f013aa73-b2bf-4a61-9b17-d169cd3ff305,Types of Arrangements,5. Part-Time,Description: Employees work fewer than 30 hours per week. Pros: Greater flexibility for personal commitments Can attract diverse talent Cons: Reduced income Potential career progression limitations Example: An employee works three full days a week.,"week,description,employees,work,fewer",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
46428f29-11ab-4bd9-a96a-8f3be4bbda4b,Types of Arrangements,6. Job Sharing,"Description: Two employees share one fulltime position. Pros: Flexibility for both employees Diverse perspectives Cons: Requires strong communication Potential for role ambiguity Example: Two employees share a marketing manager position, working alternate days.","employees,share,position,description,fulltime",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
261469ef-2d1f-40b8-a249-ebfcbb9384a0,Application and Approval Workflow,Definition,1. Employee submits request via HRIS. 2. Manager reviews request and discusses with the employee. 3. Manager consults HR for compliance and documentation. 4. HR updates HRIS with approved arrangements. 5. Employee receives confirmation of approval.,"employee,request,hris,manager,submits",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
a935d6cb-66c2-441c-8b49-105c18bd1b1f,Application and Approval Workflow,Text-Based Process Flow,1. Request Submission → 2. Manager Review → 3. HR Consultation → 4. Final Approval → 5. Confirmation to Employee,"request,submission,manager,review,consultation",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
bedc74ce-6c4a-4ab8-bb46-6729f0cfd9b8,Trial Periods and Review Cycles,Definition,"Flexible work arrangements will initially be subject to a threemonth trial period. Following this period, managers will review the arrangement's effectiveness and employee performance. Adjustments may be made based on feedback from both the employee and management.","period,employee,flexible,work,arrangements",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
9ad937ba-76c7-4a97-a54b-d11a726ed6c2,Expectations for Communication and Availability,Definition,"Employees must maintain clear communication with their teams and managers, ensuring availability during core business hours. Regular checkins are encouraged to foster collaboration and address any concerns.","employees,maintain,clear,communication,teams",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
aed602b7-03bc-4c28-88f7-0b6a127ad589,Performance Management Under Flexible Arrangements,Definition,Performance expectations will remain consistent regardless of work arrangements. Managers will evaluate employees based on deliverables and outcomes rather than hours worked. Regular performance reviews will be conducted to ensure alignment with company goals.,"performance,expectations,remain,consistent,regardless",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
cd3b39e4-76da-433c-aed2-5497d3bc9f35,"Confidentiality, Data Security, and Equipment Use",Definition,"Employees are responsible for maintaining confidentiality and data security while working remotely. Companyissued devices must be used for workrelated tasks, and employees must adhere to the company’s IT security policies.","employees,security,responsible,maintaining,confidentiality",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
15e4be22-57d6-411b-955b-45c249740dae,"Impact on Pay, Benefits, and Leave Accrual",Definition,"Flexible work arrangements will not affect an employee’s salary or benefits, provided they maintain their agreedupon hours. Leave accrual will continue as per company policy, regardless of the work arrangement.","work,flexible,arrangements,affect,employee",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
1b425223-ef2a-4dcc-a169-925823611820,Global Considerations,Definition,"When implementing flexible work arrangements, managers must consider time zone differences and the impact on crossborder teams. Clear communication and scheduling practices should be established to facilitate collaboration.","when,implementing,flexible,work,arrangements",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
09fc5418-599f-4980-bdc4-dc8de3b0f926,Termination or Modification of Arrangements,Definition,The company reserves the right to terminate or modify flexible work arrangements based on business needs or employee performance. Employees will be notified in writing of any changes.,"company,reserves,right,terminate,modify",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
cedb02b0-ec33-4ed2-8075-e73b4399ed75,"Monitoring, Audits, and Policy Review",Definition,This policy will be reviewed annually to ensure its effectiveness and relevance. Feedback from employees and managers will be considered during the review process. Audits may be conducted to ensure compliance with the policy.,"policy,ensure,reviewed,annually,effectiveness",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
47abbd04-2fa6-4cb7-a06b-d86dc88109cf,Case Studies,Case Study 1: Flex-Time for a Parent,"Scenario: Sarah, a marketing manager and mother of two, requests a flextime arrangement to start her workday at 8 AM and finish at 4 PM. Outcome: Sarah successfully balances her family responsibilities and work commitments, resulting in increased job satisfaction and productivity.","sarah,scenario,marketing,manager,mother",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
b71580ae-a343-4023-a75e-a660e30727be,Case Studies,Case Study 2: Compressed Workweek for Operations Staff,"Scenario: John, an operations staff member, opts for a compressed workweek, working four 10hour days. Outcome: John enjoys a threeday weekend, allowing him to pursue personal interests while maintaining high productivity during the workweek.","john,workweek,scenario,operations,staff",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
075783a2-beac-43f7-b31e-ae811f6a19ad,Case Studies,Case Study 3: Cross-Border Hybrid Role,"Scenario: Emily, a software developer, works in a hybrid model, splitting her time between the office and remote work. Outcome: Emily effectively collaborates with her international team, overcoming time zone challenges through scheduled meetings and clear communication.","emily,time,scenario,software,developer",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
df389a7f-35ad-45d9-aa91-ce7e34c89de6,Case Studies,Case Study 4: Job Sharing in Marketing,"Scenario: Two employees, Lisa and Tom, share a marketing manager position, each working three days a week. Outcome: Both employees thrive in their roles, bringing diverse perspectives to the team and ensuring continuous coverage.","employees,scenario,lisa,share,marketing",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
a5148063-70ee-4a67-a7ce-ef1da3200a3b,Case Studies,Case Study 5: Part-Time for a Student,"Scenario: Mark, a university student, requests a parttime arrangement to work 20 hours a week. Outcome: Mark successfully balances his studies and work, contributing effectively to his team while maintaining academic performance.","mark,work,scenario,university,student",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\flexible_work_policy
