id,section,subsection,chunk,keywords,input_file
657b7a63-b2bd-49d3-8168-9650fa375634,,,"Compensation & Benefits Policy (EN, 202501) # Compensation & Benefits Policy Company Name: Global Service Firm Version: 202501 Effective Date: [Insert Date] Region: Global (EN)","compensation,benefits,policy,global,date",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
6da225ce-2439-436d-bd52-581106fb012d,Purpose and Scope of the Policy,Definition,"The purpose of this Compensation & Benefits Policy is to outline the framework for employee compensation and benefits across Global Service Firm, ensuring that our practices align with our organizational values and support our strategic goals. This policy applies to all employees globally and is designed to promote fairness, competitiveness, and transparency in our compensation practices.","compensation,benefits,policy,practices,purpose",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
296b0425-bca6-4dfd-8080-314aefa6ffe3,Core Compensation Principles,Fairness,Ensure equitable pay for similar roles and responsibilities. Regularly assess internal equity to eliminate pay disparities.,"ensure,equitable,similar,roles,responsibilities",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
6b60a9b7-87a4-4ee0-83e7-56b55d873949,Core Compensation Principles,Competitiveness,Maintain competitive compensation packages to attract and retain top talent. Benchmark salaries against industry standards and regional norms.,"maintain,competitive,compensation,packages,attract",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
59d05795-8aa1-4860-b622-649fe2eb4ee5,Core Compensation Principles,Transparency,Communicate compensation structures and policies clearly to all employees. Provide access to information regarding pay scales and benefits.,"communicate,compensation,structures,policies,clearly",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
84503f68-9f09-40a6-a047-99751eda81bb,Core Compensation Principles,Compliance,Adhere to all applicable labor laws and regulations in each jurisdiction. Regularly review policies to ensure compliance with global standards.,"adhere,applicable,labor,laws,regulations",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
32f3fe7a-6883-45f8-8a28-791a21bde9da,Salary Structures,Bands/Grades,"Description of Salary Bands: Entry Level: Roles requiring minimal experience, focused on learning and development. MidLevel: Roles requiring specialized skills and experience, with some supervisory responsibilities. Senior Level: Roles with significant experience and leadership responsibilities, influencing strategic decisions. Executive Level: Senior leadership roles responsible for overall company strategy and performance.","roles,level,experience,requiring,responsibilities",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
02550c36-4bb8-430f-bdff-c8ebd0723b68,Salary Structures,Market Benchmarking,Conduct annual market surveys to ensure our compensation packages remain competitive. Adjust salary bands based on market data to reflect changes in demand for specific skills.,"market,conduct,annual,surveys,ensure",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
f4b9c1f6-0ec2-40df-b64f-9c75fdcc1648,Salary Structures,Pay Equity,Implement regular audits to assess pay equity across the organization. Address any identified disparities promptly and transparently.,"implement,regular,audits,assess,equity",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
13683233-68f9-47e1-b60b-dc55faab3df6,Pay Review Process,Annual Cycle,"Conduct annual salary reviews in Q4, with adjustments effective from January 1. Review performance, market data, and internal equity during this cycle.","conduct,annual,salary,reviews,adjustments",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
bac2a865-5b37-48d6-8152-61c28d31f728,Pay Review Process,Mid-Year Adjustments,Allow for midyear salary adjustments in cases of significant changes in job responsibilities or market conditions.,"allow,midyear,salary,adjustments,cases",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
03569181-9287-422f-8fdb-daa466106514,Pay Review Process,Probation Raises,Employees completing their probation period will be reviewed for potential salary increases based on performance and role alignment.,"employees,completing,probation,period,reviewed",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
19656f5c-fe8c-422b-9e5a-d78b12e2c39c,Bonus & Incentive Programs,Performance-Based Bonuses,Annual bonuses based on individual and company performance metrics. Clear criteria for eligibility and calculation communicated at the beginning of each fiscal year.,"annual,bonuses,based,individual,company",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
8bec1b20-2241-40b0-afba-d1ce6bface57,Bonus & Incentive Programs,Project-Based Bonuses,"Incentives for successful completion of significant projects, awarded at the project’s conclusion.","incentives,successful,completion,significant,projects",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
ff60d103-7637-4e3e-b6bb-04abd3173a51,Bonus & Incentive Programs,Recognition Awards,"Nonmonetary rewards for exceptional performance, including public recognition and additional time off.","nonmonetary,rewards,exceptional,performance,including",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
6dd6aabf-5e50-41b5-84d1-f7bc2fee4caa,Benefits,Healthcare,"Comprehensive healthcare plans, including medical, dental, and vision coverage.","comprehensive,healthcare,plans,including,medical",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
9a633ec2-5614-4fb3-8e46-a4e3d58534c0,Benefits,Retirement,Retirement savings plans with company matching contributions.,"retirement,savings,plans,company,matching",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\compensation_benefits_policy
