id,section,subsection,chunk,keywords,input_file
b17914a4-93ad-448c-987b-cbc86185a63e,,,"Code of Conduct & Ethics (EN, 202501) # Code of Conduct & Ethics Policy Version: 202501 Global Services Firm","code,conduct,ethics,policy,version",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
627202e8-2ded-4546-8602-3286a59150fe,Purpose and Scope of the Policy,Definition,"The Code of Conduct & Ethics Policy serves as a guiding framework for all employees of Global Service Firm, regardless of their position or location. This policy aims to foster an ethical workplace that promotes integrity, respect, and accountability. It applies to all employees, contractors, and thirdparty representatives associated with the firm.","policy,employees,firm,code,conduct",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
f5043b14-6146-4038-81b4-abe564e2385e,Purpose and Scope of the Policy,Objectives:,To establish clear expectations for ethical behavior. To protect the company’s reputation and assets. To ensure compliance with all applicable laws and regulations.,"establish,clear,expectations,ethical,behavior",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
c136d035-e339-445d-936d-84d8d4bfce44,Core Values and Principles,Definition,"At Global Service Firm, our core values guide our actions and decisions. These values are: 1. Integrity: We conduct our business honestly and transparently. Example: An employee discovers a billing error that favors the company. They report it immediately to ensure transparency. 2. Respect: We treat everyone with dignity and consideration. Example: A team member actively listens to diverse opinions during meetings, fostering an inclusive environment. 3. Fairness: We strive for equitable treatment in all interactions. Example: Promotions are based on merit, ensuring all employees have equal opportunities. 4. Compliance with Laws: We adhere to all applicable local and international laws. Example: Employees are trained on data protection laws relevant to their region.","example,laws,values,employees,global",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
7ba5232a-c6cf-4f8e-b114-5fe0bd939f41,Workplace Behavior Standards,Professional Conduct,"Employees are expected to maintain a high standard of professionalism in all interactions. Dress Code: Employees should dress appropriately for their role and work environment. Communication: Use respectful language in all forms of communication, whether in person, via email, or on social media.","employees,dress,communication,expected,maintain",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
a17fd0b6-a720-4b82-9182-26926f55c1ee,Workplace Behavior Standards,Anti-Discrimination,"Discrimination based on race, gender, age, religion, sexual orientation, or disability is strictly prohibited. Scenario: An employee overhears a colleague making derogatory remarks about another’s ethnicity. They are encouraged to report this behavior.","discrimination,based,race,gender,religion",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
18955489-fce3-47c3-bd2d-eac388f82408,Workplace Behavior Standards,Anti-Harassment,"Harassment of any kind, including sexual harassment, is not tolerated. Example: Unwanted advances or inappropriate jokes create a hostile work environment and should be reported immediately.","harassment,kind,including,sexual,tolerated",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
b6c13b25-dba8-4e9b-a861-b67fafc09d06,Workplace Behavior Standards,Manager Checklist,Ensure all team members understand workplace behavior standards. Provide training on diversity and inclusion. Encourage open dialogue about workplace conduct.,"workplace,ensure,team,members,understand",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
83dc99e9-11c2-4d80-9b22-41224cda67bf,Conflicts of Interest,Definition,Employees must avoid situations where personal interests conflict with the interests of Global Service Firm.,"interests,employees,avoid,situations,where",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
03c1ef31-ae24-463d-b567-2921fd7f8075,Conflicts of Interest,Examples of Conflicts:,Personal Relationships: Hiring or supervising a family member. Financial Interests: Holding a significant financial stake in a competitor.,"financial,personal,relationships,hiring,supervising",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
0d906187-4167-42f8-ad93-668f52e914b8,Conflicts of Interest,Disclosure Process,Employees must disclose any potential conflicts to their manager or HR.,"employees,disclose,potential,conflicts,manager",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
951e4ed9-2550-477d-afd1-c4a3574cf6f4,Conflicts of Interest,Prohibited Activities,Accepting gifts from clients or suppliers that exceed a nominal value. Engaging in outside employment that interferes with job performance.,"accepting,gifts,clients,suppliers,exceed",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
9d254ebd-d29f-43cd-848d-6b311d7f7688,Conflicts of Interest,Manager Checklist,Regularly review team members for potential conflicts of interest. Encourage transparency in all business dealings. Provide guidance on acceptable gift policies.,"regularly,review,team,members,potential",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
957a02f4-0601-41ca-809c-30fbb6e553cc,Confidentiality and Data Protection Obligations,Definition,"Employees must protect sensitive information related to the company, clients, and colleagues. Data Handling: Follow company protocols for data storage and sharing. Confidential Information: Do not disclose proprietary information without authorization.","information,company,data,employees,protect",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
f7298f2b-76a8-4865-93c8-9a8bfed58890,Confidentiality and Data Protection Obligations,Example:,An employee receives a request for client data from an external party. They must verify the request’s legitimacy before sharing any information.,"request,employee,receives,client,data",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
888bc56f-1edd-4c68-ba90-954638951e6d,Confidentiality and Data Protection Obligations,Manager Checklist,Conduct regular training on data protection policies. Ensure secure data storage practices are followed. Monitor compliance with confidentiality agreements.,"data,conduct,regular,training,protection",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
bc89113b-7b75-4baa-9468-b2c26fd0dd67,Use of Company Assets and IT Resources,Definition,"Company assets, including IT resources, should be used responsibly and primarily for business purposes.","company,assets,including,resources,used",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
37f48a89-6841-4a92-b144-f11aa09145e9,Use of Company Assets and IT Resources,Acceptable Use:,Using company email for workrelated communication. Accessing the internet for research relevant to job responsibilities.,"using,company,email,workrelated,communication",C:\Users\hassa\Documents\Data_Engineering_Project\rag_with_langgraph\data\raw\code_of_conduct
